t,is_context,is_future,mask_area,bbox_area,fill_ratio,depth_median,area_depth2,bg_scale,mask_area_norm,bbox_area_norm,depth_norm,area_depth2_norm
0,1,0,0,0,0.0,,,,,,,
1,0,1,33,1380,0.023913,148.580002,728508.559156,0.999387,1.0,1.0,1.0,1.0
2,0,1,307,2058,0.149174,175.765015,9484255.49493,0.999757,9.30303,1.491304,1.182965,13.018729
3,0,1,296,2058,0.143829,174.13501,8975608.481318,0.999918,8.969697,1.491304,1.171995,12.320526
4,0,1,398,2058,0.193392,174.764999,12156036.394642,1.000089,12.060606,1.491304,1.176235,16.686196
5,0,1,398,5650,0.070442,171.022995,11641048.197206,1.000352,12.060606,4.094203,1.15105,15.979288
6,0,1,569,6655,0.0855,175.429993,17511363.245898,1.000529,17.242424,4.822464,1.180711,24.037279
7,0,1,449,6832,0.06572,171.444,13197477.303651,1.000103,13.606061,4.950725,1.153883,18.115748
8,0,1,549,6888,0.079704,174.509003,16718912.218049,0.999968,16.636364,4.991304,1.174512,22.949507
9,0,1,825,6944,0.118808,189.044998,29483859.349475,1.000648,25.0,5.031884,1.272345,40.471535
10,0,1,1038,6944,0.149482,202.440491,42539474.070823,0.999774,31.454545,5.031884,1.362502,58.392552
11,0,1,1032,6944,0.148618,201.879501,42059503.720404,1.000223,31.272727,5.031884,1.358726,57.733713
12,0,1,1135,6944,0.16345,204.432999,47434885.816884,1.000889,34.393939,5.031884,1.375912,65.112325
13,0,1,951,6944,0.136953,195.957001,36517587.97538,1.000319,28.818182,5.031884,1.318865,50.126505
14,0,1,967,6944,0.139257,202.080002,39488728.344418,0.99912,29.30303,5.031884,1.360075,54.204893
15,0,1,891,6944,0.128312,196.897003,34542671.004222,0.999613,27.0,5.031884,1.325192,47.415601
16,0,1,945,6832,0.13832,195.121994,35978599.959539,1.000431,28.636364,4.950725,1.313245,49.386654
17,0,1,823,6832,0.120463,183.287994,27648264.35284,1.000249,24.939394,4.950725,1.233598,37.951873
18,0,1,791,6832,0.115779,176.281006,24580319.484193,1.000048,23.969697,4.950725,1.186438,33.740605
19,0,1,782,6832,0.114461,176.149994,24264537.51349,1.000063,23.69697,4.950725,1.185557,33.307141
20,0,1,623,6832,0.091189,174.619003,18996389.102409,1.000116,18.878788,4.950725,1.175252,26.075725
21,0,1,582,6944,0.083813,174.231995,17667650.588278,1.000269,17.636364,5.031884,1.172648,24.251809
22,0,1,662,6944,0.095334,176.043503,20516250.451073,0.999994,20.060606,5.031884,1.18484,28.16199
23,0,1,788,6944,0.113479,192.626999,29238866.636129,1.000047,23.878788,5.031884,1.296453,40.135241
24,0,1,901,6944,0.129752,203.122009,37173954.138232,1.000135,27.30303,5.031884,1.367088,51.027478
25,0,1,961,6944,0.138393,204.287003,40105585.419131,1.000158,29.121212,5.031884,1.374929,55.051632
26,0,1,957,6944,0.137817,203.432999,39605430.590136,0.999765,29.0,5.031884,1.369182,54.365086
27,0,1,938,6944,0.135081,202.768997,38566119.716615,0.999927,28.424242,5.031884,1.364713,52.938458
28,0,1,916,6944,0.131912,201.66449,37252406.84489,0.999945,27.757576,5.031884,1.357279,51.135167
29,0,1,920,6944,0.132488,201.651001,37410076.099262,1.000039,27.878788,5.031884,1.357188,51.351594
30,0,1,894,6944,0.128744,198.535995,35238388.10331,1.000456,27.090909,5.031884,1.336223,48.370589
31,0,1,888,6944,0.12788,196.843994,34407831.52996,1.000447,26.909091,5.031884,1.324835,47.230511
32,0,1,892,6944,0.128456,196.794495,34545441.219692,1.00006,27.030303,5.031884,1.324502,47.419403
33,0,1,888,6944,0.12788,196.031006,34124201.869316,1.000057,26.909091,5.031884,1.319363,46.841182
34,0,1,910,6944,0.131048,194.8535,34550776.810518,1.000101,27.575758,5.031884,1.311438,47.426727
35,0,1,909,6944,0.130904,193.210999,33933415.369052,0.999965,27.545455,5.031884,1.300384,46.579295
36,0,1,918,6944,0.1322,193.149506,34247579.534818,0.999982,27.818182,5.031884,1.29997,47.010538
37,0,1,897,6944,0.129176,195.210999,34182278.552336,1.000045,27.181818,5.031884,1.313844,46.920902
38,0,1,902,6944,0.129896,195.167496,34357496.95248,1.00009,27.333333,5.031884,1.313552,47.161418
39,0,1,907,6944,0.130616,194.871002,34443059.700112,1.00011,27.484848,5.031884,1.311556,47.278868
40,0,1,918,6944,0.1322,195.570999,35111678.418817,1.000046,27.818182,5.031884,1.316267,48.196659
41,0,1,918,6944,0.1322,195.274994,35005472.735488,1.000193,27.818182,5.031884,1.314275,48.050874
42,0,1,916,6944,0.131912,195.593002,35043066.261563,1.000155,27.757576,5.031884,1.316415,48.102477
43,0,1,905,6944,0.130328,194.373993,34192030.456889,0.999805,27.424242,5.031884,1.308211,46.934288
44,0,1,914,6944,0.131624,194.72049,34655287.095139,0.999906,27.69697,5.031884,1.310543,47.570185
45,0,1,914,6944,0.131624,192.652008,33922923.734346,1.000188,27.69697,5.031884,1.296621,46.564894
46,0,1,913,6944,0.13148,192.645996,33883694.0674,1.000162,27.666667,5.031884,1.296581,46.511045
47,0,1,915,6944,0.131768,192.636002,33954395.633265,1.00047,27.727273,5.031884,1.296514,46.608094
48,0,1,922,6944,0.132776,192.753998,34256083.582759,1.000304,27.939394,5.031884,1.297308,47.022212
