t,is_context,is_future,mask_area,bbox_area,fill_ratio,depth_median,area_depth2,bg_scale,mask_area_norm,bbox_area_norm,depth_norm,area_depth2_norm
0,1,0,3726,6888,0.540941,2.948008,32381.745418,,1.0,1.0,1.0,1.0
1,0,1,3726,6888,0.540941,2.948008,32381.745418,0.999385,1.0,1.0,1.0,1.0
2,0,1,3726,6888,0.540941,2.948008,32381.745418,0.999758,1.0,1.0,1.0,1.0
3,0,1,3726,6888,0.540941,2.948008,32381.745418,0.999917,1.0,1.0,1.0,1.0
4,0,1,3726,6888,0.540941,2.948006,32381.687803,1.000089,1.0,1.0,0.999999,0.999998
5,0,1,3726,6888,0.540941,2.947967,32380.8393,1.000354,1.0,1.0,0.999986,0.999972
6,0,1,3726,6888,0.540941,2.947932,32380.074609,1.00052,1.0,1.0,0.999974,0.999948
7,0,1,3725,6888,0.540796,2.947897,32370.60412,1.000097,0.999732,1.0,0.999962,0.999656
8,0,1,3725,6888,0.540796,2.947881,32370.258538,0.999979,0.999732,1.0,0.999957,0.999645
9,0,1,3725,6888,0.540796,2.947867,32369.960082,1.000337,0.999732,1.0,0.999952,0.999636
10,0,1,3725,6888,0.540796,2.947856,32369.713988,0.999795,0.999732,1.0,0.999948,0.999628
11,0,1,3724,6888,0.54065,2.947833,32360.505905,1.000238,0.999463,1.0,0.999941,0.999344
12,0,1,3724,6888,0.54065,2.947826,32360.359337,1.000547,0.999463,1.0,0.999938,0.99934
13,0,1,3724,6888,0.54065,2.947816,32360.139485,1.000308,0.999463,1.0,0.999935,0.999333
14,0,1,3724,6888,0.54065,2.94781,32360.003387,0.999118,0.999463,1.0,0.999933,0.999329
15,0,1,3724,6888,0.54065,2.947808,32359.956276,0.999606,0.999463,1.0,0.999932,0.999327
