t,is_context,is_future,mask_area,bbox_area,fill_ratio,depth_median,area_depth2,bg_scale,mask_area_norm,bbox_area_norm,depth_norm,area_depth2_norm
0,1,0,0,0,0.0,,,,,,,
1,0,1,207,9828,0.021062,170.195007,5996032.487245,1.000011,1.0,1.0,1.0,1.0
2,0,1,210,9828,0.021368,170.333496,6092834.977219,0.999999,1.014493,1.0,1.000814,1.016144
3,0,1,280,9828,0.02849,168.642502,7963282.158674,0.999979,1.352657,1.0,0.990878,1.328092
4,0,1,287,9906,0.028972,169.268005,8223025.743343,1.000009,1.386473,1.007937,0.994553,1.371411
5,0,1,386,9906,0.038966,166.761002,10734363.417005,0.999999,1.864734,1.007937,0.979823,1.790244
6,0,1,389,9828,0.039581,166.809998,10824148.786059,0.999999,1.879227,1.0,0.980111,1.805219
7,0,1,434,10560,0.041098,165.926498,11948715.648022,0.999945,2.096618,1.074481,0.97492,1.99277
8,0,1,440,10560,0.041667,166.055496,12132748.242332,0.999996,2.125604,1.074481,0.975678,2.023463
9,0,1,454,10560,0.042992,165.699997,12465246.000846,1.000001,2.193237,1.074481,0.973589,2.078916
10,0,1,453,10560,0.042898,165.481003,12404934.917467,1.000001,2.188406,1.074481,0.972302,2.068857
11,0,1,480,10560,0.045455,162.574997,12686702.223706,0.999958,2.318841,1.074481,0.955228,2.115849
12,0,1,475,10560,0.044981,162.18399,12494232.214579,0.999982,2.294686,1.074481,0.95293,2.08375
13,0,1,480,10560,0.045455,162.347504,12651221.733753,0.999996,2.318841,1.074481,0.953891,2.109932
14,0,1,474,10560,0.044886,162.058502,12448642.155716,1.000015,2.289855,1.074481,0.952193,2.076147
15,0,1,489,10560,0.046307,162.520996,12915993.269768,1.000006,2.362319,1.074481,0.95491,2.15409
16,0,1,495,10560,0.046875,162.764999,13113760.288025,1.000018,2.391304,1.074481,0.956344,2.187073
17,0,1,486,10560,0.046023,162.371002,12813070.384309,0.999985,2.347826,1.074481,0.954029,2.136925
18,0,1,471,10560,0.044602,163.003998,12514612.854146,1.000015,2.275362,1.074481,0.957748,2.087149
19,0,1,480,10560,0.045455,162.171997,12623883.184211,0.999992,2.318841,1.074481,0.95286,2.105373
20,0,1,477,10560,0.04517,162.498001,12595471.372221,1.000012,2.304348,1.074481,0.954775,2.100634
21,0,1,478,10560,0.045265,161.265503,12431136.844009,1.000012,2.309179,1.074481,0.947534,2.073227
22,0,1,467,10560,0.044223,162.220993,12289408.822509,1.000003,2.256039,1.074481,0.953148,2.04959
23,0,1,470,10560,0.044508,161.854492,12312532.021399,0.999994,2.270531,1.074481,0.950994,2.053447
24,0,1,467,10560,0.044223,161.359009,12159152.778021,0.999994,2.256039,1.074481,0.948083,2.027866
25,0,1,465,10560,0.044034,161.359009,12107079.318586,0.999996,2.246377,1.074481,0.948083,2.019182
26,0,1,464,10560,0.043939,161.969498,12172630.835022,0.999984,2.241546,1.074481,0.95167,2.030114
27,0,1,476,10560,0.045076,161.290009,12382886.223656,0.999983,2.299517,1.074481,0.947678,2.06518
28,0,1,475,10560,0.044981,161.131989,12332670.91992,1.000005,2.294686,1.074481,0.946749,2.056805
29,0,1,475,10560,0.044981,161.088013,12325940.221209,0.999998,2.294686,1.074481,0.946491,2.055683
30,0,1,467,10560,0.044223,160.72699,12064088.163737,0.999996,2.256039,1.074481,0.94437,2.012012
31,0,1,472,10560,0.044697,160.835495,12209722.644553,1.000017,2.280193,1.074481,0.945007,2.0363
32,0,1,480,10560,0.045455,161.022003,12445481.042934,1.000007,2.318841,1.074481,0.946103,2.075619
33,0,1,478,10560,0.045265,160.8535,12367699.62127,1.000018,2.309179,1.074481,0.945113,2.062647
34,0,1,485,10560,0.045928,161.488007,12648012.492401,1.000011,2.342995,1.074481,0.948841,2.109397
35,0,1,497,10560,0.047064,163.358994,13263021.90131,0.999993,2.400966,1.074481,0.959834,2.211966
36,0,1,492,10560,0.046591,162.6035,13008429.979021,1.000002,2.376812,1.074481,0.955395,2.169506
37,0,1,487,10560,0.046117,161.862,12759062.453449,0.999997,2.352657,1.074481,0.951038,2.127917
38,0,1,486,10560,0.046023,162.619003,12852240.953214,1.00001,2.347826,1.074481,0.955486,2.143458
39,0,1,498,10560,0.047159,162.988007,13229414.965798,0.999988,2.405797,1.074481,0.957654,2.206361
40,0,1,500,10560,0.047348,163.266998,13328056.365479,1.000003,2.415459,1.074481,0.959294,2.222813
41,0,1,502,10560,0.047538,162.869507,13316291.081005,1.000006,2.425121,1.074481,0.956958,2.22085
42,0,1,494,10560,0.04678,162.619003,13063800.475078,1.00001,2.386473,1.074481,0.955486,2.178741
43,0,1,498,10560,0.047159,162.536499,13156220.530368,0.999991,2.405797,1.074481,0.955002,2.194154
44,0,1,494,10560,0.04678,162.619003,13063800.475078,0.999997,2.386473,1.074481,0.955486,2.178741
45,0,1,497,10560,0.047064,162.520996,13127297.863138,1.000002,2.400966,1.074481,0.95491,2.189331
46,0,1,490,10560,0.046402,161.862,12837660.374107,0.999996,2.36715,1.074481,0.951038,2.141026
47,0,1,494,10560,0.04678,162.536499,13050548.076309,0.99998,2.386473,1.074481,0.955002,2.176531
48,0,1,489,10560,0.046307,161.862,12811461.067221,1.000001,2.362319,1.074481,0.951038,2.136656
