t,is_context,is_future,mask_area,bbox_area,fill_ratio,depth_median,area_depth2,bg_scale,mask_area_norm,bbox_area_norm,depth_norm,area_depth2_norm
0,1,0,224,5159,0.043419,176.92099,7011432.220604,,1.0,1.0,1.0,1.0
1,1,0,197,5159,0.038186,178.053009,6245466.183078,1.000014,0.879464,1.0,1.006398,0.890755
2,1,0,189,5293,0.035708,177.686005,5967167.770202,1.000009,0.84375,1.025974,1.004324,0.851063
3,1,0,223,5494,0.04059,178.67099,7118900.954092,1.000034,0.995536,1.064935,1.009891,1.015328
4,1,0,164,3300,0.049697,176.511993,5109663.345978,0.999946,0.732143,0.639659,0.997688,0.728762
5,1,0,27,1620,0.016667,161.299011,702469.017646,0.999882,0.120536,0.314014,0.911701,0.100189
6,1,0,0,0,0.0,,,0.999945,,,,
7,1,0,0,0,0.0,,,0.999977,,,,
8,0,1,1,1,1.0,175.944,30956.291222,1.000044,0.004464,0.000194,0.994478,0.004415
9,0,1,73,2340,0.031197,176.011002,2261530.705613,1.000086,0.325893,0.453576,0.994857,0.322549
10,0,1,164,4096,0.040039,180.943497,5369450.035919,1.000097,0.732143,0.793952,1.022736,0.765814
11,0,1,195,8064,0.024182,182.737,6511598.143156,1.000007,0.870536,1.563094,1.032873,0.928712
12,0,1,192,8190,0.023443,182.725006,6410578.148262,0.999972,0.857143,1.587517,1.032806,0.914304
13,0,1,216,8052,0.026826,180.524994,7039283.059006,0.999981,0.964286,1.560768,1.020371,1.003972
14,0,1,211,4092,0.051564,177.779999,6668808.600819,0.999995,0.941964,0.793177,1.004855,0.951134
15,0,1,226,6204,0.036428,177.772507,7142292.496393,0.999993,1.008929,1.202559,1.004813,1.018664
16,0,1,218,7986,0.027298,178.453491,6942351.378531,1.000001,0.973214,1.547974,1.008662,0.990147
17,0,1,200,8107,0.02467,178.26001,6355326.216328,1.00004,0.892857,1.571429,1.007568,0.906423
18,0,1,193,8107,0.023807,178.231995,6130962.274514,1.000037,0.861607,1.571429,1.00741,0.874424
19,0,1,191,8228,0.023213,178.298996,6071991.605221,1.00001,0.852679,1.594883,1.007789,0.866013
20,0,1,188,8107,0.02319,178.003998,5956859.567946,0.999973,0.839286,1.571429,1.006121,0.849592
21,0,1,178,8107,0.021956,179.001495,5703393.290803,0.999968,0.794643,1.571429,1.01176,0.813442
22,0,1,177,8107,0.021833,179.003998,5671510.327597,0.999986,0.790179,1.571429,1.011774,0.808895
23,0,1,184,8107,0.022696,180.639008,6004002.994172,0.999975,0.821429,1.571429,1.021015,0.856316
24,0,1,191,8107,0.02356,180.638,6232346.659097,1.00001,0.852679,1.571429,1.021009,0.888884
25,0,1,183,8228,0.022241,178.035004,5800452.642801,1.000008,0.816964,1.594883,1.006297,0.827285
26,0,1,173,8228,0.021026,177.419006,5445608.159716,0.999997,0.772321,1.594883,1.002815,0.776676
27,0,1,177,8228,0.021512,177.759995,5592954.969531,1.00001,0.790179,1.594883,1.004742,0.797691
28,0,1,177,8228,0.021512,177.298996,5563983.313144,0.99997,0.790179,1.594883,1.002137,0.793559
29,0,1,180,8228,0.021877,175.411499,5538454.918137,0.999999,0.803571,1.594883,0.991468,0.789918
30,0,1,178,8228,0.021633,174.600494,5426389.209814,0.999993,0.794643,1.594883,0.986884,0.773934
31,0,1,179,8432,0.021229,176.533997,5578401.098911,1.000002,0.799107,1.634425,0.997813,0.795615
32,0,1,179,8432,0.021229,175.638,5521918.591578,1.000018,0.799107,1.634425,0.992748,0.787559
33,0,1,188,8432,0.022296,176.903,5883398.216772,1.000004,0.839286,1.634425,0.999898,0.839115
34,0,1,187,8432,0.022177,176.718002,5839870.188279,1.000003,0.834821,1.634425,0.998853,0.832907
35,0,1,189,8432,0.022415,177.087997,5927070.020019,1.000018,0.84375,1.634425,1.000944,0.845344
36,0,1,188,8432,0.022296,177.238998,5905768.560993,0.999978,0.839286,1.634425,1.001797,0.842306
37,0,1,189,8680,0.021774,178.419006,6016501.60513,1.000002,0.84375,1.682497,1.008467,0.858099
38,0,1,188,8432,0.022296,178.419006,5984668.263304,1.000003,0.839286,1.634425,1.008467,0.853559
39,0,1,189,8432,0.022415,178.419006,6016501.60513,1.000014,0.84375,1.634425,1.008467,0.858099
40,0,1,200,8432,0.023719,178.980499,6406803.823614,1.000005,0.892857,1.634425,1.011641,0.913765
41,0,1,187,8432,0.022177,178.291,5944296.311766,1.000016,0.834821,1.634425,1.007744,0.847801
42,0,1,187,8432,0.022177,178.291,5944296.311766,1.000004,0.834821,1.634425,1.007744,0.847801
43,0,1,187,8432,0.022177,178.291,5944296.311766,1.000015,0.834821,1.634425,1.007744,0.847801
44,0,1,191,8432,0.022652,178.291,6071447.035013,0.999992,0.852679,1.634425,1.007744,0.865935
45,0,1,193,8432,0.022889,178.419006,6143834.972434,0.99999,0.861607,1.634425,1.008467,0.87626
46,0,1,191,8432,0.022652,178.291,6071447.035013,1.0,0.852679,1.634425,1.007744,0.865935
47,0,1,187,8432,0.022177,178.291,5944296.311766,1.000007,0.834821,1.634425,1.007744,0.847801
48,0,1,187,8432,0.022177,178.291,5944296.311766,1.000003,0.834821,1.634425,1.007744,0.847801
