t,is_context,is_future,mask_area,bbox_area,fill_ratio,depth_median,area_depth2,bg_scale,mask_area_norm,bbox_area_norm,depth_norm,area_depth2_norm
0,1,0,4354,10379,0.419501,2.80676,34300.379941,,1.0,1.0,1.0,1.0
1,0,1,4320,10379,0.416225,2.81225,34165.792021,0.999956,0.992191,1.0,1.001956,0.996076
2,0,1,4423,10670,0.414527,2.852489,35988.601209,1.000117,1.015847,1.028037,1.016292,1.049219
3,0,1,2290,8667,0.264221,2.887761,19096.679856,0.99999,0.525953,0.835052,1.028859,0.556748
4,0,1,3957,10656,0.37134,2.896865,33206.461728,0.999946,0.908819,1.026689,1.032103,0.968108
5,0,1,4530,12276,0.369013,2.90419,38207.456713,0.999997,1.040423,1.182773,1.034713,1.113908
6,0,1,4541,12276,0.369909,2.902452,38254.411093,1.000015,1.042949,1.182773,1.034093,1.115277
7,0,1,4545,12276,0.370235,2.90267,38293.863807,1.000067,1.043868,1.182773,1.034171,1.116427
8,0,1,4551,12276,0.370723,2.90297,38352.341368,0.999985,1.045246,1.182773,1.034278,1.118132
9,0,1,4551,12276,0.370723,2.902764,38346.898626,0.999979,1.045246,1.182773,1.034205,1.117973
10,0,1,4550,12276,0.370642,2.902513,38331.847522,0.999984,1.045016,1.182773,1.034115,1.117534
11,0,1,4550,12276,0.370642,2.902464,38330.56288,0.999993,1.045016,1.182773,1.034098,1.117497
12,0,1,4549,12276,0.37056,2.90255,38324.405112,0.99998,1.044786,1.182773,1.034128,1.117317
