t,is_context,is_future,mask_area,bbox_area,fill_ratio,depth_median,area_depth2,bg_scale,mask_area_norm,bbox_area_norm,depth_norm,area_depth2_norm
0,1,0,452,812,0.55665,219.444,21766362.497904,,1.0,1.0,1.0,1.0
1,1,0,452,812,0.55665,220.671997,22010650.891532,0.999503,1.0,1.0,1.005596,1.011223
2,1,0,452,812,0.55665,218.671997,21613483.920829,1.000009,1.0,1.0,0.996482,0.992976
3,1,0,0,0,0.0,,,1.000031,,,,
4,0,1,452,810,0.558025,224.895996,22861350.494668,1.00004,1.0,0.997537,1.024845,1.050306
5,0,1,452,812,0.55665,218.675995,21614274.21164,1.000014,1.0,1.0,0.9965,0.993013
6,0,1,451,945,0.477249,181.604004,14873986.419886,1.000104,0.997788,1.163793,0.827564,0.683347
7,0,1,452,972,0.465021,166.347992,12507587.799462,1.000101,1.0,1.197044,0.758043,0.574629
8,0,1,451,1763,0.255814,112.818008,5740284.264049,0.999965,0.997788,2.171182,0.514108,0.263723
9,0,1,452,1806,0.250277,124.249512,6977949.405381,0.999871,1.0,2.224138,0.566201,0.320584
10,0,1,452,1806,0.250277,89.765503,3642146.173331,1.000026,1.0,2.224138,0.409059,0.167329
11,0,1,452,1806,0.250277,69.076996,2156777.372734,1.000024,1.0,2.224138,0.314782,0.099088
12,0,1,452,1806,0.250277,61.091995,1686968.810806,0.999998,1.0,2.224138,0.278394,0.077503
13,0,1,452,1806,0.250277,52.813995,1260771.783924,1.000018,1.0,2.224138,0.240672,0.057923
14,0,1,452,1806,0.250277,45.712006,944493.53073,1.000101,1.0,2.224138,0.208308,0.043392
15,0,1,451,1806,0.249723,45.225998,922471.290621,1.000033,0.997788,2.224138,0.206094,0.042381
16,0,1,450,1806,0.249169,43.753006,861446.489586,1.000003,0.995575,2.224138,0.199381,0.039577
17,0,1,451,1806,0.249723,43.052002,835917.16735,1.000062,0.997788,2.224138,0.196187,0.038404
18,0,1,446,1806,0.246955,42.350998,799948.733251,1.000231,0.986726,2.224138,0.192992,0.036752
19,0,1,452,1806,0.250277,40.775009,751495.819969,1.00022,1.0,2.224138,0.185811,0.034526
20,0,1,451,1806,0.249723,27.714996,346422.580926,1.000063,0.997788,2.224138,0.126296,0.015916
21,0,1,446,1806,0.246955,27.048004,326291.15972,1.00017,0.986726,2.224138,0.123257,0.014991
22,0,1,452,1806,0.250277,25.999008,305528.688677,0.99995,1.0,2.224138,0.118477,0.014037
23,0,1,452,1806,0.250277,27.373001,338675.097494,0.999813,1.0,2.224138,0.124738,0.01556
24,0,1,450,1806,0.249169,27.5495,341538.715506,1.000001,0.995575,2.224138,0.125542,0.015691
25,0,1,451,1806,0.249723,27.916992,351490.662211,1.000108,0.997788,2.224138,0.127217,0.016148
26,0,1,451,1806,0.249723,27.025009,329388.355049,1.000113,0.997788,2.224138,0.123152,0.015133
27,0,1,452,1806,0.250277,27.373001,338675.097494,1.000259,1.0,2.224138,0.124738,0.01556
28,0,1,452,1806,0.250277,27.714996,347190.701948,1.001975,1.0,2.224138,0.126296,0.015951
29,0,1,449,1806,0.248616,28.416,362553.615489,0.999958,0.993363,2.224138,0.129491,0.016657
30,0,1,451,1806,0.249723,29.774994,399834.167953,0.999962,0.997788,2.224138,0.135684,0.018369
31,0,1,452,1806,0.250277,45.225998,924516.681509,0.999981,1.0,2.224138,0.206094,0.042475
32,0,1,444,1806,0.245847,48.634003,1050178.200445,1.00002,0.982301,2.224138,0.221624,0.048248
33,0,1,449,1806,0.248616,53.373001,1279056.083577,0.999998,0.993363,2.224138,0.243219,0.058763
34,0,1,452,1806,0.250277,56.395996,1437589.785684,1.000056,1.0,2.224138,0.256995,0.066046
35,0,1,452,1806,0.250277,60.770004,1669233.025512,1.000035,1.0,2.224138,0.276927,0.076689
36,0,1,452,1806,0.250277,65.020996,1910933.929727,1.000017,1.0,2.224138,0.296299,0.087793
37,0,1,452,1806,0.250277,70.934998,2274361.793144,0.999841,1.0,2.224138,0.323249,0.10449
38,0,1,452,1806,0.250277,74.717987,2523415.470852,1.000102,1.0,2.224138,0.340488,0.115932
39,0,1,451,1806,0.249723,75.560989,2574967.865346,0.999153,0.997788,2.224138,0.344329,0.1183
40,0,1,452,1806,0.250277,76.430008,2640378.843021,0.99943,1.0,2.224138,0.348289,0.121305
41,0,1,450,1806,0.249169,72.162979,2343373.000351,0.999898,0.995575,2.224138,0.328845,0.10766
42,0,1,450,1806,0.249169,70.151993,2214585.942079,0.999407,0.995575,2.224138,0.319681,0.101744
43,0,1,452,1806,0.250277,68.493988,2120524.731547,0.999866,1.0,2.224138,0.312125,0.097422
44,0,1,451,1806,0.249723,68.162994,2095433.405377,0.999045,0.997788,2.224138,0.310617,0.096269
45,0,1,450,1806,0.249169,67.162994,2029890.516628,0.999379,0.995575,2.224138,0.30606,0.093258
46,0,1,449,1806,0.248616,64.792999,1884961.606586,1.000169,0.993363,2.224138,0.29526,0.0866
47,0,1,447,1806,0.247508,63.792999,1819087.399732,1.000615,0.988938,2.224138,0.290703,0.083573
48,0,1,450,1806,0.249169,62.722,1770322.184691,1.000193,0.995575,2.224138,0.285822,0.081333
