t,is_context,is_future,mask_area,bbox_area,fill_ratio,depth_median,area_depth2,bg_scale,mask_area_norm,bbox_area_norm,depth_norm,area_depth2_norm
0,1,0,17897,391680,0.045693,139.234009,346953196.414551,,1.0,1.0,1.0,1.0
1,1,0,14042,391680,0.035851,145.333008,296590674.930307,0.999969,0.784601,1.0,1.043804,0.854843
2,1,0,10299,391680,0.026294,152.242996,238709500.006837,1.000196,0.57546,1.0,1.093433,0.688016
3,1,0,9632,391680,0.024592,151.954498,222404513.114021,1.000049,0.538191,1.0,1.091361,0.641022
4,1,0,9355,391680,0.023884,140.298996,184142026.372037,1.000106,0.522713,1.0,1.007649,0.53074
5,1,0,5347,391680,0.013651,147.106003,115710021.403699,0.999889,0.298765,1.0,1.056538,0.333503
6,1,0,2189,242080,0.009042,132.73999,38569972.061247,1.000002,0.122311,0.618056,0.953359,0.111168
7,1,0,0,0,0.0,,,0.999969,,,,
8,0,1,4716,303552,0.015536,126.647491,75642692.725231,1.00016,0.263508,0.775,0.909602,0.21802
9,0,1,5914,342176,0.017284,124.156998,91164073.872174,1.000073,0.330446,0.873611,0.891715,0.262756
10,0,1,8158,374816,0.021765,123.337997,124101630.227856,1.000426,0.455831,0.956944,0.885832,0.35769
11,0,1,11334,374816,0.030239,126.448502,181221859.756228,1.000398,0.63329,0.956944,0.908173,0.522324
12,0,1,16086,391136,0.041126,132.053009,280507622.874318,1.000757,0.89881,0.998611,0.948425,0.808488
13,0,1,17988,391680,0.045925,134.988007,327773053.482202,1.000246,1.005085,1.0,0.969505,0.944718
14,0,1,18868,391680,0.048172,133.764999,337606540.264394,1.000065,1.054255,1.0,0.960721,0.973061
15,0,1,18908,391680,0.048274,131.77951,328353291.131378,0.999943,1.05649,1.0,0.946461,0.946391
16,0,1,18852,391680,0.048131,126.333008,300878464.124393,0.999767,1.053361,1.0,0.907343,0.867202
17,0,1,21931,391680,0.055992,130.867004,375594096.536457,0.999428,1.225401,1.0,0.939907,1.08255
18,0,1,24705,391680,0.063074,135.653992,454621544.986433,0.999471,1.380399,1.0,0.974288,1.310325
19,0,1,31480,391680,0.080372,147.705994,686801066.454809,0.998477,1.758954,1.0,1.060847,1.979521
20,0,1,35287,391680,0.090091,152.278,818255748.752635,0.999504,1.971671,1.0,1.093684,2.358404
21,0,1,39164,391680,0.09999,155.662994,948981623.735048,0.999806,2.1883,1.0,1.117995,2.735186
22,0,1,39168,391680,0.1,154.666504,936966220.001038,1.000237,2.188523,1.0,1.110839,2.700555
23,0,1,39166,391680,0.099995,151.977997,904629302.964743,1.000712,2.188411,1.0,1.091529,2.607353
24,0,1,39165,391680,0.099992,149.748001,878254126.02086,1.000401,2.188356,1.0,1.075513,2.531333
25,0,1,39155,391680,0.099967,148.319,861352279.007614,1.000793,2.187797,1.0,1.06525,2.482618
26,0,1,39166,391680,0.099995,146.342987,838789625.407392,1.000689,2.188411,1.0,1.051058,2.417587
27,0,1,37616,391680,0.096038,144.436005,784735942.943916,1.000784,2.101805,1.0,1.037362,2.261792
28,0,1,36685,391680,0.093661,142.234009,742156378.803958,1.00052,2.049785,1.0,1.021546,2.139068
29,0,1,37009,391680,0.094488,142.748993,754142569.721937,1.000504,2.067888,1.0,1.025245,2.173615
30,0,1,37656,391680,0.09614,142.682999,766617345.312687,1.000435,2.10404,1.0,1.024771,2.20957
31,0,1,39162,391680,0.099985,144.652008,819433654.914359,1.000478,2.188188,1.0,1.038913,2.361799
32,0,1,39168,391680,0.1,145.066498,824262703.121117,1.000399,2.188523,1.0,1.04189,2.375717
33,0,1,39152,391680,0.099959,145.863998,833009933.806081,1.000377,2.187629,1.0,1.047618,2.400929
34,0,1,39167,391680,0.099997,145.522003,829425984.020312,1.000254,2.188467,1.0,1.045161,2.390599
35,0,1,39166,391680,0.099995,145.6185,830505139.454952,1.000166,2.188411,1.0,1.045854,2.393709
36,0,1,39164,391680,0.09999,144.729996,820359365.421226,1.000093,2.1883,1.0,1.039473,2.364467
37,0,1,39168,391680,0.1,144.729996,820443152.507879,1.000025,2.188523,1.0,1.039473,2.364708
38,0,1,39166,391680,0.099995,145.071014,824271939.061945,0.999768,2.188411,1.0,1.041922,2.375744
39,0,1,39159,391680,0.099977,146.11499,836028609.345488,0.999735,2.18802,1.0,1.04942,2.409629
40,0,1,39168,391680,0.1,146.234009,837583604.46912,0.999661,2.188523,1.0,1.050275,2.414111
41,0,1,39168,391680,0.1,147.100494,847538939.796761,0.999486,2.188523,1.0,1.056498,2.442805
42,0,1,39168,391680,0.1,146.681,842711884.921574,0.999529,2.188523,1.0,1.053485,2.428892
43,0,1,38529,391680,0.098369,145.531998,816027357.741724,0.99967,2.152819,1.0,1.045233,2.351981
44,0,1,37518,391680,0.095787,144.467499,783032858.080644,0.999616,2.096329,1.0,1.037588,2.256883
45,0,1,36896,391680,0.094199,142.880005,753220616.063851,0.999887,2.061575,1.0,1.026186,2.170957
46,0,1,37266,391680,0.095144,143.238495,764596450.165337,1.000004,2.082248,1.0,1.028761,2.203745
47,0,1,36561,391680,0.093344,141.984009,737049971.42502,0.999705,2.042856,1.0,1.019751,2.12435
48,0,1,31767,391680,0.081104,139.970001,622366396.645835,0.999455,1.77499,1.0,1.005286,1.793805
