t,is_context,is_future,mask_area,bbox_area,fill_ratio,depth_median,area_depth2,bg_scale,mask_area_norm,bbox_area_norm,depth_norm,area_depth2_norm
0,1,0,38132,391680,0.097355,170.82901,1112789021.802072,,1.0,1.0,1.0,1.0
1,1,0,33559,391680,0.08568,171.666,988957409.063242,0.999893,0.880074,1.0,1.0049,0.88872
2,1,0,25605,391680,0.065372,173.278,768796916.513621,0.999727,0.671483,1.0,1.014336,0.690874
3,1,0,23243,391680,0.059342,172.11499,688540634.334518,0.999828,0.609541,1.0,1.007528,0.618752
4,1,0,17807,391680,0.045463,172.386993,529175524.762968,1.000006,0.466983,1.0,1.00912,0.47554
5,1,0,11246,391680,0.028712,171.514496,330826081.834493,1.0003,0.294923,1.0,1.004013,0.297295
6,1,0,1603,368298,0.004352,154.602997,38315044.864096,1.000476,0.042038,0.940303,0.905016,0.034432
7,1,0,0,0,0.0,,,1.000114,,,,
8,0,1,6394,391680,0.016325,173.915009,193395674.680771,0.999997,0.167681,1.0,1.018065,0.173794
9,0,1,12863,391680,0.032841,174.04599,389646081.30331,1.000287,0.337328,1.0,1.018832,0.350153
10,0,1,17757,391680,0.045335,171.846008,524382864.952174,1.000452,0.465672,1.0,1.005953,0.471233
11,0,1,20947,391680,0.05348,173.244003,628692463.549841,1.000104,0.549329,1.0,1.014137,0.56497
12,0,1,26199,391680,0.066889,170.924011,765404246.498356,1.000133,0.687061,1.0,1.000556,0.687825
13,0,1,35291,391680,0.090102,170.924011,1031027186.654967,1.000456,0.925496,1.0,1.000556,0.926525
14,0,1,39168,391680,0.1,173.746002,1182390787.012718,1.000788,1.027169,1.0,1.017076,1.062547
15,0,1,39168,391680,0.1,175.73999,1209685825.955704,1.000277,1.027169,1.0,1.028748,1.087076
16,0,1,39167,387541,0.101065,176.070007,1214202359.815886,1.000466,1.027143,0.989433,1.03068,1.091134
17,0,1,39168,390240,0.100369,176.867493,1225257683.125474,0.999861,1.027169,0.996324,1.035348,1.101069
18,0,1,39168,385920,0.101493,176.243988,1216634195.927395,0.999831,1.027169,0.985294,1.031698,1.09332
19,0,1,39168,349200,0.112165,175.774002,1210154104.383029,0.999919,1.027169,0.891544,1.028947,1.087496
20,0,1,39166,348480,0.112391,173.321991,1176566714.638829,1.000041,1.027116,0.889706,1.014593,1.057313
21,0,1,39168,336240,0.116488,171.861511,1156880894.333528,0.999938,1.027169,0.858456,1.006044,1.039623
22,0,1,39162,339284,0.115425,174.497009,1192451815.03473,1.000048,1.027011,0.866228,1.021472,1.071588
23,0,1,39168,339284,0.115443,178.464996,1247491200.623654,0.999961,1.027169,0.866228,1.0447,1.121049
24,0,1,39163,337181,0.116148,188.618011,1393292426.795979,1.00002,1.027038,0.860858,1.104133,1.252072
25,0,1,39165,327367,0.119636,201.867004,1595985008.497078,1.000123,1.02709,0.835802,1.18169,1.434221
26,0,1,39168,310726,0.126053,196.751999,1516246120.439703,1.000193,1.027169,0.793316,1.151748,1.362564
27,0,1,39168,307038,0.127567,189.725006,1409874796.792267,1.000057,1.027169,0.7839,1.110614,1.266974
28,0,1,39162,305800,0.128064,165.735992,1075718232.213075,1.000099,1.027011,0.780739,0.970186,0.966687
29,0,1,39168,308328,0.127034,168.725006,1115039625.151642,1.000059,1.027169,0.787194,0.987684,1.002022
30,0,1,39168,308328,0.127034,169.648499,1127279052.147363,1.000159,1.027169,0.787194,0.99309,1.013021
31,0,1,39167,309024,0.126744,167.334,1096702141.36558,1.000134,1.027143,0.788971,0.979541,0.985544
32,0,1,39168,326424,0.119991,168.382996,1110523771.132905,0.999968,1.027169,0.833395,0.985682,0.997964
33,0,1,39168,326656,0.119906,206.854492,1675950971.7854,0.999966,1.027169,0.833987,1.210886,1.506082
34,0,1,39141,324544,0.120603,212.776001,1772055018.420959,1.000111,1.026461,0.828595,1.24555,1.592445
35,0,1,39167,326895,0.119815,220.419006,1902910613.918238,0.999844,1.027143,0.834597,1.29029,1.710037
36,0,1,39168,340252,0.115115,219.966995,1895162441.26001,0.999892,1.027169,0.868699,1.287644,1.703074
37,0,1,39168,340252,0.115115,219.906998,1894128744.249679,0.999941,1.027169,0.868699,1.287293,1.702145
38,0,1,39168,335896,0.116608,216.188004,1830604720.593427,1.000043,1.027169,0.857578,1.265523,1.64506
39,0,1,39167,335896,0.116605,213.774002,1789905421.668441,0.999774,1.027143,0.857578,1.251392,1.608486
40,0,1,39166,335896,0.116602,215.531006,1819402264.988205,0.999852,1.027116,0.857578,1.261677,1.634993
41,0,1,39168,335896,0.116608,209.671997,1721917182.050388,0.999809,1.027169,0.857578,1.227379,1.547389
42,0,1,39167,326152,0.120088,210.938004,1742729450.664199,0.999895,1.027143,0.8327,1.23479,1.566092
43,0,1,39162,334444,0.117096,209.098999,1712256291.717139,1.000191,1.027011,0.853871,1.224025,1.538707
44,0,1,39168,331821,0.11804,198.905502,1549619206.270675,0.999991,1.027169,0.847174,1.164354,1.392554
45,0,1,39168,331338,0.118212,201.613495,1592100915.502947,0.999963,1.027169,0.845941,1.180206,1.43073
46,0,1,39167,331338,0.118209,201.477005,1589905386.535903,1.000286,1.027143,0.845941,1.179407,1.428757
47,0,1,39167,331338,0.118209,204.112,1631764130.735763,1.000025,1.027143,0.845941,1.194832,1.466373
48,0,1,39168,337716,0.115979,224.817993,1979673317.810795,1.000033,1.027169,0.862224,1.316041,1.779019
