t,is_context,is_future,mask_area,bbox_area,fill_ratio,depth_median,area_depth2,bg_scale,mask_area_norm,bbox_area_norm,depth_norm,area_depth2_norm
0,1,0,39168,331296,0.118227,169.730011,1128362579.021086,,1.0,1.0,1.0,1.0
1,1,0,39168,330752,0.118421,168.929993,1117750628.119615,0.999996,1.0,0.998358,0.995287,0.990595
2,1,0,39168,368832,0.106195,166.686005,1088252491.209654,1.000169,1.0,1.1133,0.982066,0.964453
3,1,0,39168,368832,0.106195,167.044998,1092945102.394683,0.999985,1.0,1.1133,0.984181,0.968612
4,1,0,39156,368832,0.106162,162.921005,1039327651.719151,0.999839,0.999694,1.1133,0.959883,0.921094
5,1,0,39165,367744,0.106501,160.723999,1011718264.258596,1.000293,0.999923,1.110016,0.946939,0.896625
6,1,0,2286,336117,0.006801,142.613998,46494388.314139,1.000428,0.058364,1.014552,0.84024,0.041205
7,1,0,0,0,0.0,,,1.000151,,,,
8,0,1,5159,366112,0.014091,162.002991,135397795.086916,1.000349,0.131715,1.10509,0.954475,0.119995
9,0,1,8406,362304,0.023202,154.544998,200770219.194684,1.00012,0.214614,1.093596,0.910534,0.177931
10,0,1,10535,366112,0.028775,152.496002,244991748.278574,1.000029,0.26897,1.10509,0.898462,0.217121
11,0,1,12373,366112,0.033796,149.743011,277439401.443906,1.000061,0.315896,1.10509,0.882242,0.245878
12,0,1,14555,366656,0.039697,149.376999,324772814.940339,1.000144,0.371604,1.106732,0.880086,0.287827
13,0,1,17260,366656,0.047074,149.089005,383647189.681386,1.000121,0.440666,1.106732,0.878389,0.340003
14,0,1,20080,366656,0.054765,151.637512,461718216.975418,0.999933,0.512663,1.106732,0.893404,0.409193
15,0,1,21698,366656,0.059178,151.641998,498951924.920233,1.000045,0.553973,1.106732,0.893431,0.442191
16,0,1,24385,366656,0.066506,154.653,583229465.802759,1.000147,0.622575,1.106732,0.911171,0.516881
17,0,1,27741,366656,0.075659,155.880997,674075372.487428,1.000034,0.708257,1.106732,0.918406,0.597393
18,0,1,28770,366656,0.078466,156.929993,708519440.237121,1.000038,0.734528,1.106732,0.924586,0.627918
19,0,1,31750,366656,0.086593,158.904999,801712856.726285,1.00003,0.810611,1.106732,0.936222,0.71051
20,0,1,34737,366656,0.09474,159.865997,887778271.350464,0.999917,0.886872,1.106732,0.941884,0.786785
21,0,1,37498,366656,0.10227,158.643997,943746583.358438,1.000027,0.957363,1.106732,0.934684,0.836386
22,0,1,39156,366656,0.106792,159.182007,992170410.875191,1.00004,0.999694,1.106732,0.937854,0.879301
23,0,1,39160,366656,0.106803,159.357498,994460846.639577,1.000036,0.999796,1.106732,0.938888,0.881331
24,0,1,39163,366656,0.106811,160.044998,1003136803.551551,1.000026,0.999872,1.106732,0.942939,0.88902
25,0,1,39149,366656,0.106773,159.181,991980486.659529,0.999882,0.999515,1.106732,0.937848,0.879133
26,0,1,39168,366656,0.106825,159.001007,990218751.6491,1.000005,1.0,1.106732,0.936788,0.877571
27,0,1,39167,366656,0.106822,160.131012,1004317902.843825,1.000063,0.999974,1.106732,0.943445,0.890067
28,0,1,39166,366656,0.106819,160.643997,1010737137.500341,1.000018,0.999949,1.106732,0.946468,0.895756
29,0,1,39163,366656,0.106811,156.910004,964222402.848111,1.000022,0.999872,1.106732,0.924468,0.854532
30,0,1,39141,366656,0.106751,156.377014,957145033.396811,1.000029,0.999311,1.106732,0.921328,0.84826
31,0,1,39165,366656,0.106817,158.36499,982237447.717183,1.00003,0.999923,1.106732,0.933041,0.870498
32,0,1,39168,366656,0.106825,156.940002,964714277.899575,1.000005,1.0,1.106732,0.924645,0.854968
33,0,1,39168,366656,0.106825,155.930008,952337307.723443,1.000084,1.0,1.106732,0.918694,0.843999
34,0,1,39156,366656,0.106792,156.367004,957389262.319333,1.00004,0.999694,1.106732,0.921269,0.848477
35,0,1,39140,366656,0.106749,156.044983,953060436.102608,1.000063,0.999285,1.106732,0.919372,0.84464
36,0,1,39167,366656,0.106822,156.052994,953815811.42895,1.000036,0.999974,1.106732,0.919419,0.84531
37,0,1,39165,366656,0.106817,155.686005,949286441.360408,1.000015,0.999923,1.106732,0.917257,0.841296
38,0,1,39140,366656,0.106749,155.906494,951369518.58174,1.000032,0.999285,1.106732,0.918556,0.843142
39,0,1,39162,366656,0.106809,155.061005,941607805.478462,0.999987,0.999847,1.106732,0.913574,0.83449
40,0,1,39168,366656,0.106825,155.359009,945375361.695683,0.999981,1.0,1.106732,0.91533,0.837829
41,0,1,39162,366656,0.106809,155.632996,948567447.474166,1.000059,0.999847,1.106732,0.916944,0.840658
42,0,1,39161,366656,0.106806,155.871002,951446622.574702,1.000026,0.999821,1.106732,0.918347,0.84321
43,0,1,39164,366656,0.106814,155.819,950884720.623538,1.000006,0.999898,1.106732,0.91804,0.842712
44,0,1,39167,366656,0.106822,156.365005,957633735.267672,0.999983,0.999974,1.106732,0.921257,0.848693
45,0,1,39167,366656,0.106822,156.641998,961029541.025476,1.000007,0.999974,1.106732,0.922889,0.851703
46,0,1,39167,366656,0.106822,158.783997,987492408.966222,1.000359,0.999974,1.106732,0.935509,0.875155
47,0,1,39168,366656,0.106825,158.268005,981109891.377694,1.000394,1.0,1.106732,0.932469,0.869499
48,0,1,39168,366656,0.106825,158.712509,986628624.906624,1.000096,1.0,1.106732,0.935088,0.87439
