t,is_context,is_future,mask_area,bbox_area,fill_ratio,depth_median,area_depth2,bg_scale,mask_area_norm,bbox_area_norm,depth_norm,area_depth2_norm
0,1,0,39167,173166,0.226182,87.011993,296536764.406375,,1.0,1.0,1.0,1.0
1,1,0,39160,168345,0.232618,91.653,328954666.660187,0.999968,0.999821,0.97216,1.053338,1.109322
2,1,0,39164,159280,0.245881,106.653,445485110.366311,1.000006,0.999923,0.919811,1.225728,1.502293
3,1,0,39168,156640,0.250051,124.084503,603068283.127821,0.999962,1.000026,0.904566,1.426062,2.033705
4,1,0,39168,154000,0.254338,138.630997,752752293.585257,0.999958,1.000026,0.88932,1.59324,2.538479
5,1,0,39168,150072,0.260995,154.596008,936112293.05034,1.000034,1.000026,0.866637,1.776721,3.156817
6,1,0,32409,147063,0.220375,160.731003,837268860.636141,1.000002,0.827457,0.84926,1.847228,2.823491
7,1,0,0,0,0.0,,,0.999972,,,,
8,0,1,24748,294768,0.083958,160.132996,634602477.816568,1.000028,0.631858,1.702228,1.840355,2.140047
9,0,1,39168,299744,0.130672,152.719498,913524859.056808,1.000078,1.000026,1.730963,1.755155,3.080646
10,0,1,39168,160080,0.244678,140.2845,770816094.489182,1.000017,1.000026,0.924431,1.612243,2.599395
11,0,1,39168,167040,0.234483,95.897995,360205591.793863,1.000015,1.000026,0.964624,1.102124,1.214708
12,0,1,39168,170752,0.229385,88.873001,309364935.581305,1.000025,1.000026,0.98606,1.021388,1.04326
13,0,1,39168,177408,0.220779,84.012009,276448433.367092,0.999982,1.000026,1.024497,0.965522,0.932257
14,0,1,39168,185262,0.21142,82.022995,263513362.257731,0.999995,1.000026,1.069852,0.942663,0.888636
15,0,1,39168,178808,0.219051,82.011993,263442677.915247,1.000015,1.000026,1.032581,0.942537,0.888398
16,0,1,39168,186186,0.21037,81.011993,257057354.399622,1.000005,1.000026,1.075188,0.931044,0.866865
17,0,1,39162,193118,0.202788,79.012009,244484352.427323,0.999997,0.999872,1.115219,0.908059,0.824466
18,0,1,39161,193534,0.202347,78.011993,238328798.754939,0.999998,0.999847,1.117621,0.896566,0.803707
19,0,1,39168,197296,0.198524,78.011993,238371399.852747,1.000024,1.000026,1.139346,0.896566,0.803851
20,0,1,39167,204330,0.191685,78.022995,238432549.326233,1.000022,1.0,1.179966,0.896692,0.804057
21,0,1,39096,210585,0.185654,78.011993,237933217.13243,1.00003,0.998187,1.216087,0.896566,0.802373
22,0,1,39165,212380,0.18441,78.011993,238353142.239401,1.000011,0.999949,1.226453,0.896566,0.80379
23,0,1,39168,219760,0.178231,79.022995,244589814.249918,0.999998,1.000026,1.269071,0.908185,0.824821
24,0,1,39165,225500,0.173681,81.011993,257037665.570394,1.0,0.999949,1.302219,0.931044,0.866799
25,0,1,39168,230830,0.169683,81.011993,257057354.399622,0.99998,1.000026,1.332998,0.931044,0.866865
26,0,1,39138,234930,0.166594,80.863998,255922843.435742,0.999987,0.99926,1.356675,0.929343,0.863039
27,0,1,39158,236076,0.16587,79.022995,244527367.912538,1.000054,0.99977,1.363293,0.908185,0.824611
28,0,1,39168,239514,0.163531,79.012009,244521809.812405,1.000025,1.000026,1.383147,0.908059,0.824592
29,0,1,39168,245244,0.15971,77.652985,236182492.441563,1.000034,1.000026,1.416236,0.89244,0.79647
30,0,1,39168,246963,0.158599,76.862,231395416.639421,1.000025,1.000026,1.426163,0.883349,0.780326
31,0,1,39147,249828,0.156696,76.02301,226250011.653501,1.000007,0.999489,1.442708,0.873707,0.762975
32,0,1,39168,246963,0.158599,75.944,225901094.267277,1.000087,1.000026,1.426163,0.872799,0.761798
33,0,1,39161,250401,0.156393,75.664001,224198335.209148,0.999997,0.999847,1.446017,0.869581,0.756056
34,0,1,39168,234930,0.166722,75.022995,220455120.906168,0.999986,1.000026,1.356675,0.862214,0.743433
35,0,1,39168,234930,0.166722,75.012009,220390558.968655,1.00006,1.000026,1.356675,0.862088,0.743215
36,0,1,39129,234930,0.166556,74.873001,219355855.098982,1.000041,0.99903,1.356675,0.860491,0.739726
37,0,1,39146,244098,0.16037,74.735001,218642949.09911,1.000012,0.999464,1.409619,0.858905,0.737322
38,0,1,39163,235503,0.166295,74.584991,217860673.178717,1.000043,0.999898,1.359984,0.857181,0.734684
39,0,1,39167,235503,0.166312,74.506989,217427427.879418,1.00003,1.0,1.359984,0.856284,0.733223
40,0,1,39168,235503,0.166316,74.231995,215830917.393319,1.000181,1.000026,1.359984,0.853124,0.727839
41,0,1,39168,235503,0.166316,74.506989,217432979.170758,1.000127,1.000026,1.359984,0.856284,0.733241
42,0,1,39141,235503,0.166202,74.375992,216519720.347093,1.000107,0.999336,1.359984,0.854779,0.730161
43,0,1,39167,238941,0.163919,74.246994,215912635.603033,1.000047,1.0,1.379838,0.853296,0.728114
44,0,1,39165,238941,0.163911,74.231995,215814386.226239,1.000014,0.999949,1.379838,0.853124,0.727783
45,0,1,39165,238941,0.163911,74.506989,217416325.29674,1.00001,0.999949,1.379838,0.856284,0.733185
46,0,1,39164,238941,0.163907,74.231995,215808875.837213,1.000001,0.999923,1.379838,0.853124,0.727764
47,0,1,39167,238941,0.163919,74.231995,215825407.004293,1.000003,1.0,1.379838,0.853124,0.72782
48,0,1,39168,238941,0.163923,74.231995,215830917.393319,1.0,1.000026,1.379838,0.853124,0.727839
