t,is_context,is_future,mask_area,bbox_area,fill_ratio,depth_median,area_depth2,bg_scale,mask_area_norm,bbox_area_norm,depth_norm,area_depth2_norm
0,1,0,39109,159556,0.245111,84.716003,280677519.504046,,1.0,1.0,1.0,1.0
1,1,0,39168,158946,0.246423,86.638,294000614.061296,0.999805,1.001509,0.996177,1.022688,1.047468
2,1,0,39168,157791,0.248227,90.794998,322890482.931792,0.999975,1.001509,0.988938,1.071757,1.150397
3,1,0,39168,306816,0.12766,149.254501,872541860.90886,0.999982,1.001509,1.922936,1.761822,3.108699
4,1,0,38551,389504,0.098975,156.001999,938201178.763776,0.999924,0.985732,2.441174,1.84147,3.34263
5,1,0,35532,287776,0.123471,156.770996,873275123.822963,0.999882,0.908538,1.803605,1.850548,3.111311
6,1,0,15769,336192,0.046905,161.289001,410217005.095917,0.99997,0.403206,2.107047,1.903879,1.461524
7,1,0,0,0,0.0,,,0.999867,,,,
8,0,1,39167,373728,0.104801,174.860001,1197570968.03348,1.00001,1.001483,2.3423,2.064073,4.266715
9,0,1,39167,333402,0.117477,181.81601,1294745920.654502,0.999846,1.001483,2.089561,2.146183,4.612931
10,0,1,39168,207282,0.18896,175.602997,1207800604.578017,1.000083,1.001509,1.299118,2.072843,4.303161
11,0,1,39168,149760,0.261538,170.763,1142138971.487077,0.999985,1.001509,0.938605,2.015711,4.069221
12,0,1,39168,149760,0.261538,170.147003,1133913705.32411,0.999963,1.001509,0.938605,2.00844,4.039916
13,0,1,39160,149760,0.261485,170.399994,1137055944.144142,1.000017,1.001304,0.938605,2.011426,4.051112
14,0,1,39168,149760,0.261538,170.139496,1133813645.142468,0.999998,1.001509,0.938605,2.008351,4.03956
15,0,1,39167,211120,0.18552,172.188004,1161250968.291114,0.999975,1.001483,1.323172,2.032532,4.137314
16,0,1,39167,211120,0.18552,174.187988,1188383778.225952,0.999998,1.001483,1.323172,2.05614,4.233983
17,0,1,39168,267280,0.146543,174.87851,1197855089.445313,0.999957,1.001509,1.675149,2.064291,4.267727
18,0,1,39168,280314,0.139729,174.541,1193235917.760553,0.999952,1.001509,1.756838,2.060307,4.25127
19,0,1,39167,280314,0.139725,176.755005,1223668407.696237,0.999913,1.001483,1.756838,2.086442,4.359695
20,0,1,39167,355776,0.110089,141.123993,780049242.618894,0.999949,1.001483,2.229788,1.665848,2.779165
21,0,1,39168,375360,0.104348,136.052994,725016017.559566,0.999964,1.001509,2.352528,1.605989,2.583093
22,0,1,39168,284622,0.137614,104.815994,430315027.443568,1.00006,1.001509,1.783838,1.237263,1.53313
23,0,1,39166,186750,0.209724,86.914993,295868426.124828,0.999983,1.001457,1.170435,1.025957,1.054122
24,0,1,39168,156880,0.249669,78.638,242212370.811296,1.00003,1.001509,0.983228,0.928254,0.862956
25,0,1,39168,208745,0.187636,74.865997,219533410.750674,0.999988,1.001509,1.308287,0.883729,0.782155
26,0,1,39168,227005,0.172542,74.421005,216931420.520474,0.999988,1.001509,1.422729,0.878476,0.772885
27,0,1,39165,227005,0.172529,80.638,254669908.162427,0.999994,1.001432,1.422729,0.951863,0.90734
28,0,1,39162,231570,0.169115,84.865997,282054024.981922,0.999996,1.001355,1.45134,1.001771,1.004904
29,0,1,39168,231985,0.168839,83.769012,274851548.005842,0.999977,1.001509,1.453941,0.988822,0.979243
30,0,1,39167,239252,0.163706,81.649002,261109137.498294,1.00001,1.001483,1.499486,0.963797,0.930282
31,0,1,39168,247637,0.158167,80.638,254689415.623796,1.000009,1.001509,1.552038,0.951863,0.907409
32,0,1,39168,235450,0.166354,77.877014,237547235.373742,0.999981,1.001509,1.475657,0.919272,0.846335
33,0,1,39167,232352,0.168568,78.638,242206186.876175,1.000007,1.001483,1.456241,0.928254,0.862934
34,0,1,39168,267445,0.146453,78.876999,243686882.87232,0.99998,1.001509,1.676183,0.931076,0.868209
35,0,1,39166,256009,0.152987,83.649002,274050594.199862,1.000008,1.001457,1.604509,0.987405,0.97639
36,0,1,39165,253980,0.154205,86.638,293978095.63191,1.000001,1.001432,1.591792,1.022688,1.047387
37,0,1,39165,256055,0.152955,104.046005,423983496.372279,1.0,1.001432,1.604797,1.228174,1.510572
38,0,1,39167,256055,0.152963,99.910995,390973102.29295,1.00007,1.001483,1.604797,1.179364,1.392962
39,0,1,39160,256885,0.152442,91.649002,328925970.006808,1.000176,1.001304,1.609999,1.081838,1.1719
40,0,1,39154,328689,0.119122,89.865997,316203689.670422,0.999965,1.001151,2.060023,1.060791,1.126573
41,0,1,39159,256885,0.152438,89.730988,315294567.303142,0.999566,1.001278,1.609999,1.059198,1.123334
42,0,1,39168,257715,0.151982,89.865997,316316752.235049,1.000012,1.001509,1.615201,1.060791,1.126976
43,0,1,39166,257715,0.151974,89.865997,316300600.440102,0.999814,1.001457,1.615201,1.060791,1.126918
44,0,1,39126,257715,0.151819,88.908997,309283583.274548,0.999939,1.000435,1.615201,1.049495,1.101918
45,0,1,39159,258130,0.151703,89.281006,312140226.866363,0.999921,1.001278,1.617802,1.053886,1.112096
46,0,1,39117,257715,0.151784,93.649002,343061393.86151,0.999987,1.000205,1.615201,1.105446,1.222262
47,0,1,39153,257715,0.151924,106.570984,444675287.971555,0.999996,1.001125,1.615201,1.257979,1.584292
48,0,1,39166,257715,0.151974,102.87149,414475900.807425,1.000003,1.001457,1.615201,1.21431,1.476698
