t,is_context,is_future,mask_area,bbox_area,fill_ratio,depth_median,area_depth2,bg_scale,mask_area_norm,bbox_area_norm,depth_norm,area_depth2_norm
0,1,0,39167,231222,0.169391,68.682983,184764533.950713,,1.0,1.0,1.0,1.0
1,1,0,39153,219420,0.178439,69.682983,190115933.717792,0.999881,0.999643,0.948958,1.01456,1.028963
2,1,0,39162,208692,0.187655,70.682999,195656731.648389,0.999986,0.999872,0.902561,1.02912,1.058952
3,1,0,39168,197024,0.198798,71.899994,202483250.102814,1.000019,1.000026,0.852099,1.046839,1.095899
4,1,0,39168,284512,0.137667,75.281006,221974058.498428,0.999981,1.000026,1.230471,1.096065,1.201389
5,1,0,39167,253132,0.15473,75.724991,224594319.096741,0.999965,1.0,1.094757,1.102529,1.215571
6,1,0,21692,339456,0.063902,79.110001,135757043.527993,0.999901,0.553834,1.468096,1.151814,0.734757
7,1,0,0,0,0.0,,,0.999908,,,,
8,0,1,22187,354844,0.062526,98.671997,216016248.610655,0.999827,0.566472,1.534646,1.436629,1.169143
9,0,1,25662,375363,0.068366,107.803009,298230644.4722,1.000041,0.655194,1.623388,1.569574,1.614112
10,0,1,27235,375363,0.072556,109.552002,326864696.228318,0.999952,0.695356,1.623388,1.595038,1.769088
11,0,1,30016,391680,0.076634,107.444,346511103.064902,1.000069,0.766359,1.693956,1.564347,1.87542
12,0,1,32892,391680,0.083977,106.541,373356590.694112,0.999939,0.839789,1.693956,1.551199,2.020716
13,0,1,34059,391680,0.086956,106.910995,389293040.174902,0.999961,0.869584,1.693956,1.556586,2.106968
14,0,1,39167,391680,0.099997,99.682999,389190737.567525,1.00001,1.0,1.693956,1.451349,2.106415
15,0,1,39168,261638,0.149703,97.187988,369961542.431213,0.999932,1.000026,1.131545,1.415023,2.002341
16,0,1,39167,157866,0.248103,97.057007,368955590.912281,0.999888,1.0,0.682746,1.413116,1.996896
17,0,1,39168,161120,0.243098,90.960007,324065175.468077,0.999863,1.000026,0.69682,1.324346,1.753936
18,0,1,39167,185428,0.211225,82.899994,269171642.834451,0.999989,1.0,0.801948,1.206995,1.456836
19,0,1,39164,199125,0.19668,78.900009,243804181.020318,0.99995,0.999923,0.861185,1.148756,1.31954
20,0,1,39163,199656,0.196152,75.057007,220626886.078481,0.999988,0.999898,0.863482,1.092804,1.194098
21,0,1,39154,218272,0.179382,75.635498,223989406.226133,0.999942,0.999668,0.943993,1.101226,1.212297
22,0,1,39168,219096,0.178771,75.281006,221974058.498428,0.999976,1.000026,0.947557,1.096065,1.201389
23,0,1,39168,242046,0.16182,75.671997,224285804.675388,0.99995,1.000026,1.046812,1.101758,1.213901
24,0,1,39168,241368,0.162275,75.281006,221974058.498428,0.999984,1.000026,1.04388,1.096065,1.201389
25,0,1,39168,240690,0.162732,75.007507,220364109.238755,0.99995,1.000026,1.040948,1.092083,1.192675
26,0,1,39168,240012,0.163192,74.910995,219797390.945281,1.000047,1.000026,1.038015,1.090678,1.189608
27,0,1,39168,238656,0.164119,75.281006,221974058.498428,0.999966,1.000026,1.032151,1.096065,1.201389
28,0,1,39168,210249,0.186293,74.455002,217129660.554839,0.999984,1.000026,0.909295,1.084039,1.17517
29,0,1,39162,208452,0.187871,73.671997,212554228.171474,0.999983,0.999872,0.901523,1.072638,1.150406
30,0,1,39168,206655,0.189533,71.910995,202545219.718718,1.000005,1.000026,0.893751,1.046999,1.096234
31,0,1,39161,204259,0.191722,73.682999,212612286.024584,0.999975,0.999847,0.883389,1.072798,1.15072
32,0,1,39166,205964,0.190159,74.281006,216104978.287765,0.999987,0.999974,0.890763,1.081505,1.169624
33,0,1,39168,204756,0.191291,73.682999,212650290.314622,0.999978,1.000026,0.885539,1.072798,1.150926
34,0,1,39165,204152,0.191842,73.671997,212570510.860931,1.000005,0.999949,0.882926,1.072638,1.150494
35,0,1,39168,204152,0.191857,72.509003,205927932.666689,0.999981,1.000026,0.882926,1.055706,1.114543
36,0,1,39167,202462,0.193454,71.910995,202540048.527447,1.000001,1.0,0.875617,1.046999,1.096206
37,0,1,39167,184002,0.212862,71.671997,201195989.550224,0.999999,1.0,0.795781,1.043519,1.088932
38,0,1,39168,182364,0.214779,71.281006,199011894.998428,1.000001,1.000026,0.788697,1.037826,1.077111
39,0,1,39163,183456,0.213474,70.910995,196926026.130128,0.999998,0.999898,0.793419,1.032439,1.065822
40,0,1,39168,183456,0.213501,70.682999,195686708.166184,1.000002,1.000026,0.793419,1.02912,1.059114
41,0,1,39168,182364,0.214779,71.281006,199011894.998428,0.999984,1.000026,0.788697,1.037826,1.077111
42,0,1,39168,182364,0.214779,71.281006,199011894.998428,1.000007,1.000026,0.788697,1.037826,1.077111
43,0,1,39156,184002,0.212802,71.281006,198950923.216872,0.999995,0.999719,0.795781,1.037826,1.076781
44,0,1,39167,186186,0.210365,70.682999,195681712.079885,1.000013,1.0,0.805226,1.02912,1.059087
45,0,1,39168,188916,0.20733,70.682999,195686708.166184,0.999999,1.000026,0.817033,1.02912,1.059114
46,0,1,39151,215640,0.181557,70.551987,194877345.240997,1.000011,0.999591,0.93261,1.027212,1.054734
47,0,1,39168,215640,0.181636,70.682999,195686708.166184,1.000015,1.000026,0.93261,1.02912,1.059114
48,0,1,39167,215640,0.181631,70.682999,195681712.079885,1.000004,1.0,0.93261,1.02912,1.059087
