t,is_context,is_future,mask_area,bbox_area,fill_ratio,depth_median,area_depth2,bg_scale,mask_area_norm,bbox_area_norm,depth_norm,area_depth2_norm
0,1,0,26772,391680,0.068352,106.518005,303757400.155624,,1.0,1.0,1.0,1.0
1,1,0,21719,391680,0.055451,106.839005,247913108.513171,0.999277,0.811258,1.0,1.003014,0.816155
2,1,0,20768,391680,0.053023,107.110001,238261964.728206,0.999511,0.775736,1.0,1.005558,0.784382
3,1,0,19424,391680,0.049592,111.458008,241302166.90744,0.999963,0.725534,1.0,1.046377,0.794391
4,1,0,17358,391680,0.044317,113.02301,221734578.299702,0.999804,0.648364,1.0,1.06107,0.729973
5,1,0,13053,391136,0.033372,116.434006,176957924.514129,0.999976,0.487562,0.998611,1.093092,0.582563
6,1,0,7664,391680,0.019567,127.87851,125328726.745152,0.999874,0.286269,1.0,1.200534,0.412595
7,1,0,0,0,0.0,,,0.999495,,,,
8,0,1,7897,391680,0.020162,153.934998,187127181.489158,0.999689,0.294972,1.0,1.445155,0.616042
9,0,1,8365,391680,0.021357,156.873001,205855443.332431,1.000282,0.312453,1.0,1.472737,0.677697
10,0,1,9975,391680,0.025467,158.565002,250800028.492451,1.000052,0.372591,1.0,1.488622,0.825659
11,0,1,11105,391680,0.028352,155.399994,268176400.734119,1.000001,0.414799,1.0,1.458908,0.882864
12,0,1,11584,391680,0.029575,153.879501,274296388.413671,0.999993,0.432691,1.0,1.444634,0.903011
13,0,1,11817,391680,0.03017,151.731003,272054486.166082,0.999878,0.441394,1.0,1.424463,0.895631
14,0,1,12045,391680,0.030752,148.798996,266690045.780257,0.999968,0.44991,1.0,1.396938,0.877971
15,0,1,12244,391680,0.03126,147.163498,265169472.667205,1.000003,0.457343,1.0,1.381583,0.872965
16,0,1,12471,391680,0.03184,144.425003,260127369.967565,1.000033,0.465823,1.0,1.355874,0.856366
17,0,1,12244,391680,0.03126,141.912506,246583867.553778,1.000136,0.457343,1.0,1.332287,0.811779
18,0,1,12399,391680,0.031656,139.385986,240893391.036652,1.000124,0.463133,1.0,1.308567,0.793045
19,0,1,14481,391680,0.036972,127.731003,236260542.661986,0.999964,0.540901,1.0,1.199149,0.777794
20,0,1,23202,391680,0.059237,107.741989,269336617.044338,0.999928,0.866652,1.0,1.011491,0.886683
21,0,1,31803,391680,0.081196,99.235001,313182756.763178,0.999874,1.18792,1.0,0.931627,1.031029
22,0,1,29991,391680,0.07657,77.473007,180007986.74672,0.999866,1.120238,1.0,0.727323,0.592604
23,0,1,30794,391680,0.07862,75.832001,177080660.966516,0.999973,1.150232,1.0,0.711917,0.582967
24,0,1,30111,391680,0.076877,75.212997,170337775.94475,0.999989,1.12472,1.0,0.706106,0.560769
25,0,1,29820,391680,0.076134,75.212997,168691590.404585,1.000028,1.11385,1.0,0.706106,0.55535
26,0,1,30478,391680,0.077814,75.212997,172413893.103653,0.999974,1.138428,1.0,0.706106,0.567604
27,0,1,31435,391680,0.080257,75.440994,178907386.548339,1.000055,1.174175,1.0,0.708246,0.588981
28,0,1,32344,391680,0.082578,75.484009,184290794.092259,0.999995,1.208128,1.0,0.70865,0.606704
29,0,1,31659,391680,0.080829,74.843002,177337096.903813,0.999953,1.182541,1.0,0.702632,0.583812
30,0,1,32400,391680,0.082721,74.843002,181487789.875977,0.999946,1.21022,1.0,0.702632,0.597476
31,0,1,32528,391680,0.083047,74.701004,181514046.812351,1.0,1.215001,1.0,0.701299,0.597563
32,0,1,32666,391680,0.0834,74.843002,182977782.224959,0.999977,1.220155,1.0,0.702632,0.602381
33,0,1,32701,391680,0.083489,74.760986,182772595.214936,0.999947,1.221463,1.0,0.701862,0.601706
34,0,1,32902,391680,0.084002,75.082001,185478669.451722,0.999961,1.228971,1.0,0.704876,0.610614
35,0,1,33019,391680,0.084301,75.153,186490433.385942,1.000015,1.233341,1.0,0.705543,0.613945
36,0,1,33340,391680,0.085121,75.28949,188988032.256013,0.999988,1.245331,1.0,0.706824,0.622168
37,0,1,32661,391680,0.083387,74.925003,183350887.404194,0.999991,1.219969,1.0,0.703402,0.60361
38,0,1,32230,391680,0.082287,75.212997,182324948.314546,0.999898,1.20387,1.0,0.706106,0.600232
39,0,1,32068,391680,0.081873,75.212997,181408515.127238,0.999954,1.197819,1.0,0.706106,0.597215
40,0,1,32241,391680,0.082315,75.212997,182387175.259364,0.999992,1.204281,1.0,0.706106,0.600437
41,0,1,31625,391680,0.080742,74.831985,177094498.82891,0.999918,1.181271,1.0,0.702529,0.583013
42,0,1,31670,391680,0.080857,74.843002,177398713.128771,0.999946,1.182952,1.0,0.702632,0.584014
43,0,1,31673,391680,0.080864,74.843002,177415517.55376,1.000006,1.183064,1.0,0.702632,0.58407
44,0,1,31945,391680,0.081559,75.212997,180712704.744281,0.99998,1.193224,1.0,0.706106,0.594924
45,0,1,31636,391680,0.08077,74.843002,177208262.978901,1.000033,1.181682,1.0,0.702632,0.583387
46,0,1,33045,391680,0.084367,75.925003,190491408.19149,1.000018,1.234312,1.0,0.71279,0.627117
47,0,1,34781,391680,0.0888,76.832001,205317680.541437,1.000002,1.299156,1.0,0.721305,0.675927
48,0,1,37526,391680,0.095808,77.44101,225047548.197847,1.000032,1.401688,1.0,0.727023,0.740879
