t,is_context,is_future,mask_area,bbox_area,fill_ratio,depth_median,area_depth2,bg_scale,mask_area_norm,bbox_area_norm,depth_norm,area_depth2_norm
0,1,0,1642,2070,0.793237,175.975998,50848720.130526,,1.0,1.0,1.0,1.0
1,1,0,1642,2070,0.793237,178.815002,52502629.971113,1.000078,1.0,1.0,1.016133,1.032526
2,1,0,1642,2070,0.793237,179.119995,52681883.092583,1.000087,1.0,1.0,1.017866,1.036051
3,1,0,1642,2070,0.793237,176.369507,51076385.230028,0.999939,1.0,1.0,1.002236,1.004477
4,1,0,1610,2025,0.795062,175.975998,49857758.471466,0.999982,0.980512,0.978261,1.0,0.980512
5,1,0,1106,1406,0.786629,147.779007,24153530.196629,0.999959,0.673569,0.679227,0.839768,0.475008
6,1,0,831,1056,0.786932,111.449997,10321935.612223,1.000029,0.50609,0.510145,0.633325,0.202993
7,1,0,685,870,0.787356,121.888992,10176994.615676,1.000076,0.417174,0.42029,0.692646,0.200143
8,0,1,441,528,0.835227,198.143005,17313946.904673,1.000072,0.268575,0.255072,1.125966,0.340499
9,0,1,2001,2450,0.816735,114.973007,26450803.562596,0.999875,1.218636,1.183575,0.653345,0.520186
10,0,1,0,0,0.0,,,1.000019,,,,
11,0,1,2348,2970,0.790572,130.85199,40203027.081762,1.00004,1.429963,1.434783,0.743579,0.79064
12,0,1,0,0,0.0,,,1.000026,,,,
13,0,1,0,0,0.0,,,1.000007,,,,
14,0,1,0,0,0.0,,,1.00004,,,,
15,0,1,0,0,0.0,,,1.000012,,,,
16,0,1,0,0,0.0,,,0.999973,,,,
17,0,1,0,0,0.0,,,0.999999,,,,
18,0,1,0,0,0.0,,,1.000037,,,,
19,0,1,0,0,0.0,,,0.999988,,,,
20,0,1,0,0,0.0,,,0.999996,,,,
21,0,1,0,0,0.0,,,0.999973,,,,
22,0,1,0,0,0.0,,,0.99999,,,,
23,0,1,0,0,0.0,,,1.000032,,,,
24,0,1,0,0,0.0,,,1.000023,,,,
25,0,1,0,0,0.0,,,1.0,,,,
26,0,1,0,0,0.0,,,0.999998,,,,
27,0,1,0,0,0.0,,,1.00001,,,,
28,0,1,0,0,0.0,,,0.999972,,,,
29,0,1,0,0,0.0,,,0.999943,,,,
30,0,1,0,0,0.0,,,0.999994,,,,
31,0,1,0,0,0.0,,,1.000008,,,,
32,0,1,0,0,0.0,,,0.999994,,,,
33,0,1,0,0,0.0,,,0.999982,,,,
34,0,1,0,0,0.0,,,1.000023,,,,
35,0,1,0,0,0.0,,,0.999769,,,,
36,0,1,0,0,0.0,,,0.999962,,,,
37,0,1,0,0,0.0,,,0.999885,,,,
38,0,1,0,0,0.0,,,0.999914,,,,
39,0,1,0,0,0.0,,,0.999879,,,,
40,0,1,0,0,0.0,,,0.999914,,,,
41,0,1,0,0,0.0,,,0.999904,,,,
42,0,1,0,0,0.0,,,0.999997,,,,
43,0,1,0,0,0.0,,,1.000004,,,,
44,0,1,0,0,0.0,,,1.000041,,,,
45,0,1,0,0,0.0,,,0.999991,,,,
46,0,1,0,0,0.0,,,1.000022,,,,
47,0,1,0,0,0.0,,,1.000017,,,,
48,0,1,0,0,0.0,,,1.000051,,,,
