t,is_context,is_future,mask_area,bbox_area,fill_ratio,depth_median,area_depth2,bg_scale,mask_area_norm,bbox_area_norm,depth_norm,area_depth2_norm
0,1,0,1640,2070,0.792271,2.94686,14241.73195,,1.0,1.0,1.0,1.0
1,1,0,1640,2070,0.792271,2.94686,14241.73195,1.000078,1.0,1.0,1.0,1.0
2,1,0,1640,2070,0.792271,2.94686,14241.73195,1.000087,1.0,1.0,1.0,1.0
3,1,0,1640,2070,0.792271,2.94686,14241.73195,0.999939,1.0,1.0,1.0,1.0
4,1,0,1619,2025,0.799506,2.969656,14277.726709,0.999982,0.987195,0.978261,1.007736,1.002527
5,1,0,1111,1406,0.790185,3.599857,14397.418779,0.999959,0.677439,0.679227,1.221591,1.010932
6,1,0,832,1056,0.787879,4.236649,14933.730288,1.000029,0.507317,0.510145,1.437682,1.048589
7,1,0,691,870,0.794253,4.708121,15316.983563,1.000076,0.421341,0.42029,1.597674,1.0755
8,0,1,577,702,0.821937,5.198977,15595.938886,1.000054,0.351829,0.33913,1.764243,1.095087
9,0,1,0,0,0.0,,,0.999875,,,,
10,0,1,0,0,0.0,,,1.000019,,,,
11,0,1,0,0,0.0,,,1.00004,,,,
12,0,1,0,0,0.0,,,1.000026,,,,
13,0,1,0,0,0.0,,,1.000007,,,,
14,0,1,0,0,0.0,,,1.00004,,,,
15,0,1,0,0,0.0,,,1.000012,,,,
