t,is_context,is_future,mask_area,bbox_area,fill_ratio,depth_median,area_depth2,bg_scale,mask_area_norm,bbox_area_norm,depth_norm,area_depth2_norm
0,1,0,1820,2304,0.789931,189.589005,65418062.953145,,1.0,1.0,1.0,1.0
1,1,0,1821,2352,0.774235,188.891998,64973620.560457,0.999919,1.000549,1.020833,0.996324,0.993206
2,1,0,1464,1849,0.791779,175.44101,45061258.011287,0.999975,0.804396,0.802517,0.925375,0.68882
3,1,0,1228,1600,0.7675,170.936996,35881492.899748,1.00001,0.674725,0.694444,0.901619,0.548495
4,1,0,1078,1406,0.766714,154.682495,25792954.890742,0.999973,0.592308,0.610243,0.815883,0.394279
5,1,0,990,1260,0.785714,125.804993,15668627.220332,0.999999,0.543956,0.546875,0.663567,0.239515
6,1,0,899,1122,0.801248,127.477997,14609325.067657,1.000031,0.493956,0.486979,0.672391,0.223322
7,1,0,845,1056,0.800189,169.467987,24267891.849409,0.999994,0.464286,0.458333,0.89387,0.370966
8,0,1,702,868,0.808756,177.084503,22013962.727554,1.000074,0.385714,0.376736,0.934044,0.336512
9,0,1,521,644,0.809006,170.403,15128372.013414,1.000055,0.286264,0.279514,0.898802,0.231257
10,0,1,651,780,0.834615,169.139008,18623810.526667,1.000038,0.357692,0.338542,0.892135,0.284689
11,0,1,667,812,0.821429,170.876999,19475698.81861,1.000168,0.366484,0.352431,0.901302,0.297711
12,0,1,723,896,0.80692,184.722,24670363.128938,1.000088,0.397253,0.388889,0.974329,0.377119
13,0,1,715,870,0.821839,182.473999,23807183.628518,1.000118,0.392857,0.377604,0.962471,0.363924
14,0,1,634,810,0.782716,178.49649,20199872.169735,0.999996,0.348352,0.351562,0.941492,0.308781
15,0,1,652,812,0.802956,171.083008,19083645.906536,1.000069,0.358242,0.352431,0.902389,0.291718
16,0,1,794,986,0.805274,148.009491,17394006.676503,1.000017,0.436264,0.427951,0.780686,0.26589
17,0,1,717,1102,0.650635,151.641998,16487626.977961,1.000135,0.393956,0.478299,0.799846,0.252035
18,0,1,361,450,0.802222,95.925003,3321779.841983,1.000046,0.198352,0.195312,0.505963,0.050778
19,0,1,0,0,0.0,,,0.999967,,,,
20,0,1,0,0,0.0,,,0.99954,,,,
21,0,1,0,0,0.0,,,1.000062,,,,
22,0,1,0,0,0.0,,,1.000016,,,,
23,0,1,0,0,0.0,,,1.000089,,,,
24,0,1,0,0,0.0,,,1.000009,,,,
25,0,1,0,0,0.0,,,1.000013,,,,
26,0,1,0,0,0.0,,,0.999909,,,,
27,0,1,0,0,0.0,,,0.999577,,,,
28,0,1,0,0,0.0,,,0.999879,,,,
29,0,1,0,0,0.0,,,0.999995,,,,
30,0,1,0,0,0.0,,,1.000068,,,,
31,0,1,0,0,0.0,,,1.000044,,,,
32,0,1,0,0,0.0,,,1.000127,,,,
33,0,1,0,0,0.0,,,0.999994,,,,
34,0,1,0,0,0.0,,,0.999989,,,,
35,0,1,0,0,0.0,,,1.000971,,,,
36,0,1,0,0,0.0,,,1.000044,,,,
37,0,1,0,0,0.0,,,0.999461,,,,
38,0,1,0,0,0.0,,,0.999859,,,,
39,0,1,0,0,0.0,,,1.000143,,,,
40,0,1,0,0,0.0,,,0.999066,,,,
41,0,1,0,0,0.0,,,0.999889,,,,
42,0,1,0,0,0.0,,,0.999604,,,,
43,0,1,0,0,0.0,,,0.999933,,,,
44,0,1,0,0,0.0,,,0.999846,,,,
45,0,1,0,0,0.0,,,0.999984,,,,
46,0,1,0,0,0.0,,,0.999911,,,,
47,0,1,0,0,0.0,,,1.000086,,,,
48,0,1,0,0,0.0,,,1.000059,,,,
