t,is_context,is_future,mask_area,bbox_area,fill_ratio,depth_median,area_depth2,bg_scale,mask_area_norm,bbox_area_norm,depth_norm,area_depth2_norm
0,1,0,1828,2304,0.793403,2.835485,14697.074447,,1.0,1.0,1.0,1.0
1,1,0,1823,2352,0.775085,2.846149,14767.330549,0.999919,0.997265,1.020833,1.003761,1.00478
2,1,0,1476,1849,0.798269,3.123622,14401.352705,0.999975,0.80744,0.802517,1.101618,0.979879
3,1,0,1237,1600,0.773125,3.414799,14424.475987,1.00001,0.676696,0.694444,1.204309,0.981452
4,1,0,1086,1444,0.752078,3.632333,14328.51384,0.999973,0.594092,0.626736,1.281027,0.974923
5,1,0,992,1260,0.787302,3.808382,14387.743529,0.999999,0.54267,0.546875,1.343115,0.978953
6,1,0,909,1122,0.81016,3.984877,14434.23423,1.000031,0.497265,0.486979,1.40536,0.982116
7,1,0,847,1056,0.802083,4.161778,14670.378687,0.999994,0.463348,0.458333,1.467748,0.998184
8,0,1,765,961,0.796046,4.337775,14394.464871,1.000068,0.41849,0.417101,1.529818,0.97941
9,0,1,728,930,0.782796,4.508826,14799.886341,1.000064,0.398249,0.403646,1.590143,1.006995
10,0,1,687,870,0.789655,4.667413,14966.117653,1.000005,0.375821,0.377604,1.646072,1.018306
11,0,1,649,812,0.799261,4.811811,15026.637604,1.000169,0.355033,0.352431,1.696998,1.022424
12,0,1,607,784,0.774235,4.950591,14876.566867,1.000085,0.332057,0.340278,1.745942,1.012213
