t,is_context,is_future,mask_area,bbox_area,fill_ratio,depth_median,area_depth2,bg_scale,mask_area_norm,bbox_area_norm,depth_norm,area_depth2_norm
0,1,0,2313,2916,0.79321,188.382004,82083233.635955,,1.0,1.0,1.0,1.0
1,1,0,2295,2970,0.772727,188.457993,81510172.327175,0.999748,0.992218,1.018519,1.000403,0.993019
2,1,0,1762,2256,0.781028,166.759491,48998978.432064,0.999898,0.761781,0.773663,0.88522,0.596943
3,1,0,1428,1849,0.772309,148.875504,31650071.411541,0.999999,0.61738,0.634088,0.790285,0.385585
4,1,0,1244,1521,0.817883,142.925995,25412232.973,0.999992,0.53783,0.521605,0.758703,0.309591
5,1,0,1106,1406,0.786629,115.191986,14675728.185718,0.999953,0.478167,0.482167,0.611481,0.178791
6,1,0,1000,1296,0.771605,116.537506,13580990.328827,0.99993,0.432339,0.444444,0.618623,0.165454
7,1,0,894,1190,0.751261,137.842499,16986495.69593,0.999935,0.386511,0.408093,0.731718,0.206942
8,0,1,377,500,0.754,181.595001,12432232.664567,0.99997,0.162992,0.171468,0.963972,0.151459
9,0,1,954,1184,0.805743,147.104004,20644166.918849,1.000157,0.412451,0.406036,0.780881,0.251503
10,0,1,854,1080,0.790741,153.747498,20187102.226722,1.000056,0.369217,0.37037,0.816147,0.245935
11,0,1,790,1023,0.772239,118.067505,11012549.21031,1.000096,0.341548,0.350823,0.626745,0.134163
12,0,1,853,1085,0.786175,136.026993,15783351.382492,1.000086,0.368785,0.372085,0.722081,0.192285
13,0,1,960,1248,0.769231,148.171997,21076743.087173,1.000046,0.415045,0.427984,0.786551,0.256773
14,0,1,742,14076,0.052714,161.055496,19246643.663102,0.999983,0.320796,4.82716,0.854941,0.234477
15,0,1,743,928,0.800647,136.25499,13794108.6927,0.999976,0.321228,0.318244,0.723291,0.16805
16,0,1,736,899,0.818687,132.392502,12900442.062239,0.999791,0.318201,0.308299,0.702787,0.157163
17,0,1,720,896,0.803571,130.8815,12333576.316433,0.999831,0.311284,0.30727,0.694766,0.150257
18,0,1,724,868,0.834101,134.419006,13081571.749664,1.000095,0.313013,0.297668,0.713545,0.15937
19,0,1,550,667,0.824588,82.960999,3785390.002873,0.99989,0.237786,0.228738,0.440387,0.046116
20,0,1,522,660,0.790909,76.659485,3067625.195381,0.999996,0.225681,0.226337,0.406936,0.037372
21,0,1,447,640,0.698438,77.746994,2701934.000278,0.999942,0.193256,0.219479,0.412709,0.032917
22,0,1,221,297,0.744108,75.764999,1268614.064285,0.999964,0.095547,0.101852,0.402188,0.015455
23,0,1,47,64,0.734375,160.144989,1205381.622791,1.000015,0.02032,0.021948,0.850108,0.014685
24,0,1,0,0,0.0,,,1.000006,,,,
25,0,1,0,0,0.0,,,0.999964,,,,
26,0,1,0,0,0.0,,,1.000026,,,,
27,0,1,0,0,0.0,,,0.999981,,,,
28,0,1,0,0,0.0,,,0.999983,,,,
29,0,1,0,0,0.0,,,0.999973,,,,
30,0,1,0,0,0.0,,,1.000001,,,,
31,0,1,0,0,0.0,,,0.999991,,,,
32,0,1,0,0,0.0,,,0.999963,,,,
33,0,1,0,0,0.0,,,1.0,,,,
34,0,1,0,0,0.0,,,1.000029,,,,
35,0,1,0,0,0.0,,,1.000009,,,,
36,0,1,0,0,0.0,,,1.000048,,,,
37,0,1,0,0,0.0,,,1.000001,,,,
38,0,1,0,0,0.0,,,1.000055,,,,
39,0,1,0,0,0.0,,,0.999727,,,,
40,0,1,0,0,0.0,,,0.999404,,,,
41,0,1,0,0,0.0,,,0.999946,,,,
42,0,1,0,0,0.0,,,0.999693,,,,
43,0,1,0,0,0.0,,,0.999879,,,,
44,0,1,0,0,0.0,,,0.998757,,,,
45,0,1,0,0,0.0,,,0.997884,,,,
46,0,1,0,0,0.0,,,0.999599,,,,
47,0,1,0,0,0.0,,,0.999607,,,,
48,0,1,0,0,0.0,,,0.999853,,,,
