t,is_context,is_future,mask_area,bbox_area,fill_ratio,depth_median,area_depth2,bg_scale,mask_area_norm,bbox_area_norm,depth_norm,area_depth2_norm
0,1,0,3530,5625,0.627556,213.567001,161006350.140781,,1.0,1.0,1.0,1.0
1,1,0,3530,5625,0.627556,213.972504,161618340.101713,1.000105,1.0,1.0,1.001899,1.003801
2,1,0,3530,5625,0.627556,213.968002,161611540.238342,1.000068,1.0,1.0,1.001878,1.003759
3,1,0,3530,5625,0.627556,215.501007,163935614.705423,0.999982,1.0,1.0,1.009056,1.018193
4,1,0,3515,5476,0.641892,215.729004,163584595.989236,1.000024,0.995751,0.973511,1.010123,1.016013
5,1,0,3533,5544,0.637266,216.632004,165801658.749518,0.999907,1.00085,0.9856,1.014351,1.029783
6,1,0,3574,6030,0.592703,213.501007,162912498.406518,0.99993,1.012465,1.072,0.999691,1.011839
7,1,0,3573,6279,0.56904,211.932007,160481922.138348,0.999897,1.012181,1.116267,0.992344,0.996743
8,0,1,3423,5313,0.644269,211.578995,153232891.900891,0.999972,0.969688,0.944533,0.990691,0.95172
9,0,1,3693,5822,0.634318,213.856003,168897102.036793,1.000196,1.046176,1.035022,1.001353,1.049009
10,0,1,3727,5964,0.624916,213.705994,170213028.171381,1.000037,1.055807,1.060267,1.000651,1.057182
11,0,1,3776,5810,0.649914,215.44751,175272968.856853,1.000076,1.069688,1.032889,1.008805,1.088609
12,0,1,3825,6035,0.633803,215.705994,177973714.543109,0.99999,1.083569,1.072889,1.010016,1.105383
13,0,1,3855,5880,0.655612,215.789001,179507663.105564,0.999973,1.092068,1.045333,1.010404,1.11491
14,0,1,3852,5658,0.680806,216.014496,179743034.830904,0.99999,1.091218,1.005867,1.01146,1.116372
15,0,1,3857,5589,0.690106,215.871002,179737316.947287,1.000009,1.092635,0.9936,1.010788,1.116337
16,0,1,3881,5600,0.693036,216.311996,181595404.55229,1.000026,1.099433,0.995556,1.012853,1.127877
17,0,1,3954,5600,0.706071,215.968002,184423171.914032,0.999981,1.120113,0.995556,1.011242,1.14544
18,0,1,3496,4899,0.713615,213.813995,159824620.44486,0.999993,0.990368,0.870933,1.001157,0.99266
19,0,1,3591,4970,0.722535,215.354996,166542587.097647,1.000023,1.01728,0.883556,1.008372,1.034385
20,0,1,3606,4896,0.73652,214.191498,165436059.817909,0.999976,1.02153,0.8704,1.002924,1.027513
21,0,1,3665,5040,0.727183,215.632004,170412095.270168,0.999965,1.038244,0.896,1.009669,1.058418
22,0,1,3467,4824,0.718698,213.856003,158561129.911064,0.999986,0.982153,0.8576,1.001353,0.984813
23,0,1,3476,4757,0.730713,215.679993,161696078.720413,1.000089,0.984703,0.845689,1.009894,1.004284
24,0,1,3438,4760,0.722269,215.354996,159446787.647371,1.000191,0.973938,0.846222,1.008372,0.990314
25,0,1,3478,4760,0.730672,215.675507,161782384.171539,1.000092,0.985269,0.846222,1.009873,1.00482
26,0,1,3577,5041,0.709581,215.583008,166244770.962022,0.999967,1.013314,0.896178,1.00944,1.032535
27,0,1,3668,5183,0.707698,215.583008,170474089.988453,1.000048,1.039093,0.921422,1.00944,1.058804
28,0,1,3675,5183,0.709049,215.496002,170661586.589039,1.000087,1.041076,0.921422,1.009032,1.059968
29,0,1,3677,4970,0.739839,216.242996,171940319.857377,1.000215,1.041643,0.883556,1.01253,1.06791
30,0,1,3673,5041,0.728625,215.973999,171326233.797588,1.000147,1.04051,0.896178,1.01127,1.064096
31,0,1,3660,4970,0.736419,216.511993,171571442.439913,1.000247,1.036827,0.883556,1.01379,1.065619
32,0,1,3732,4970,0.750905,216.354996,174692994.945815,1.000229,1.057224,0.883556,1.013054,1.085007
33,0,1,3657,4761,0.768116,216.73999,171792048.852377,1.000301,1.035977,0.8464,1.014857,1.066989
34,0,1,3648,4830,0.75528,216.540497,171053942.121366,1.000178,1.033428,0.858667,1.013923,1.062405
35,0,1,3653,4830,0.756315,216.772995,171656411.054986,1.000036,1.034844,0.858667,1.015012,1.066147
36,0,1,3655,4830,0.756729,216.574997,171436785.602944,1.000026,1.035411,0.858667,1.014085,1.064783
37,0,1,3852,5244,0.734554,217.202499,181725517.954757,0.999976,1.091218,0.932267,1.017023,1.128685
38,0,1,3853,5244,0.734744,217.050003,181517541.836831,0.999975,1.091501,0.932267,1.016309,1.127394
39,0,1,3887,5244,0.741228,217.485992,183855709.885753,0.999982,1.101133,0.932267,1.01835,1.141916
40,0,1,3868,5244,0.737605,217.442505,182883847.652126,0.999982,1.095751,0.932267,1.018147,1.13588
41,0,1,3873,5244,0.738558,217.485992,183193507.689098,0.999991,1.097167,0.932267,1.01835,1.137803
42,0,1,3923,5382,0.728911,217.563995,185691643.220362,0.999991,1.111331,0.9568,1.018715,1.153319
43,0,1,3741,5106,0.732667,217.181,176453941.676185,0.999997,1.059773,0.907733,1.016922,1.095944
44,0,1,3741,5106,0.732667,217.320999,176681506.76098,0.99999,1.059773,0.907733,1.017578,1.097357
45,0,1,3721,5106,0.72875,217.181,175510589.943086,1.000007,1.054108,0.907733,1.016922,1.090085
46,0,1,4018,5520,0.727899,217.740997,190497968.200378,1.000003,1.138244,0.981333,1.019544,1.183171
47,0,1,3921,5382,0.72854,217.563995,185596975.036207,1.0,1.110765,0.9568,1.018715,1.152731
48,0,1,3905,5313,0.73499,217.574997,184858323.654893,1.000009,1.106232,0.944533,1.018767,1.148143
