t,is_context,is_future,mask_area,bbox_area,fill_ratio,depth_median,area_depth2,bg_scale,mask_area_norm,bbox_area_norm,depth_norm,area_depth2_norm
0,1,0,3530,5700,0.619298,2.945804,30632.499536,,1.0,1.0,1.0,1.0
1,1,0,3530,5700,0.619298,2.945804,30632.499536,1.000105,1.0,1.0,1.0,1.0
2,1,0,3530,5700,0.619298,2.945804,30632.499536,1.000068,1.0,1.0,1.0,1.0
3,1,0,3530,5700,0.619298,2.945804,30632.499536,0.999982,1.0,1.0,1.0,1.0
4,1,0,3517,5700,0.617018,2.945364,30510.564726,1.000024,0.996317,1.0,0.999851,0.996019
5,1,0,3548,5610,0.632442,2.942181,30713.002572,0.999907,1.005099,0.984211,0.99877,1.002628
6,1,0,3579,6120,0.584804,2.93985,30932.294754,0.99993,1.013881,1.073684,0.997979,1.009787
7,1,0,3570,6279,0.568562,2.949059,31048.103059,0.999897,1.011331,1.101579,1.001105,1.013567
8,0,1,3485,6030,0.577944,2.969958,30739.968454,0.999972,0.987252,1.057895,1.008199,1.003508
9,0,1,3322,5504,0.603561,3.005883,30015.384022,1.000166,0.941076,0.965614,1.020395,0.979854
10,0,1,3261,5368,0.607489,3.025776,29855.507454,1.000063,0.923796,0.941754,1.027148,0.974635
11,0,1,3255,5280,0.616477,3.036174,30005.738742,1.000074,0.922096,0.926316,1.030678,0.979539
12,0,1,3249,5104,0.63656,3.046864,30161.70303,1.000004,0.920397,0.895439,1.034306,0.984631
13,0,1,3211,4785,0.671055,3.059146,30049.742973,0.999986,0.909632,0.839474,1.038476,0.980976
14,0,1,3225,4558,0.707547,3.079021,30574.198556,1.000018,0.913598,0.799649,1.045223,0.998097
15,0,1,3161,4558,0.693506,3.10375,30450.756871,1.000028,0.895467,0.799649,1.053617,0.994067
