object_id	scene_composition	count_bucket	target_count	parent_case_index	parent_case_name	example_case_name	counterfactual_kind	example_scene_input
1000	single_object_preview	count_01	1	5	case005_entry_left	case005_entry_left__cf_no_collision_neg	no_collision_negative	/data/gaoya/AAA_test_video/Dataset_physV/0417data/version_1_genesis_rigid_data_all_cases/train/rigid/single_object_preview/count_01/1000__case005_entry_left__cf_no_collision_neg/scene_input.json
1000	single_object_preview	count_01	1	6	case006_entry_right	case006_entry_right__cf_no_collision_neg	no_collision_negative	/data/gaoya/AAA_test_video/Dataset_physV/0417data/version_1_genesis_rigid_data_all_cases/train/rigid/single_object_preview/count_01/1000__case006_entry_right__cf_no_collision_neg/scene_input.json
1000	single_object_preview	count_01	1	7	case007_entry_fast_center	case007_entry_fast_center__cf_no_collision_neg	no_collision_negative	/data/gaoya/AAA_test_video/Dataset_physV/0417data/version_1_genesis_rigid_data_all_cases/train/rigid/single_object_preview/count_01/1000__case007_entry_fast_center__cf_no_collision_neg/scene_input.json
1000	single_object_preview	count_01	1	901	case901_high_drop	case901_high_drop__cf_no_collision_neg	no_collision_negative	/data/gaoya/AAA_test_video/Dataset_physV/0417data/version_1_genesis_rigid_data_all_cases/train/rigid/single_object_preview/count_01/1000__case901_high_drop__cf_no_collision_neg/scene_input.json
10000	single_object_preview	count_01	1	5	case005_entry_left	case005_entry_left__cf_no_collision_neg	no_collision_negative	/data/gaoya/AAA_test_video/Dataset_physV/0417data/version_1_genesis_rigid_data_all_cases/train/rigid/single_object_preview/count_01/10000__case005_entry_left__cf_no_collision_neg/scene_input.json
10000	single_object_preview	count_01	1	6	case006_entry_right	case006_entry_right__cf_no_collision_neg	no_collision_negative	/data/gaoya/AAA_test_video/Dataset_physV/0417data/version_1_genesis_rigid_data_all_cases/train/rigid/single_object_preview/count_01/10000__case006_entry_right__cf_no_collision_neg/scene_input.json
10000	single_object_preview	count_01	1	7	case007_entry_fast_center	case007_entry_fast_center__cf_no_collision_neg	no_collision_negative	/data/gaoya/AAA_test_video/Dataset_physV/0417data/version_1_genesis_rigid_data_all_cases/train/rigid/single_object_preview/count_01/10000__case007_entry_fast_center__cf_no_collision_neg/scene_input.json
10003	single_object_preview	count_01	1	5	case005_entry_left	case005_entry_left__cf_no_collision_neg	no_collision_negative	/data/gaoya/AAA_test_video/Dataset_physV/0417data/version_1_genesis_rigid_data_all_cases/train/rigid/single_object_preview/count_01/10003__case005_entry_left__cf_no_collision_neg/scene_input.json
10003	single_object_preview	count_01	1	6	case006_entry_right	case006_entry_right__cf_no_collision_neg	no_collision_negative	/data/gaoya/AAA_test_video/Dataset_physV/0417data/version_1_genesis_rigid_data_all_cases/train/rigid/single_object_preview/count_01/10003__case006_entry_right__cf_no_collision_neg/scene_input.json
10003	single_object_preview	count_01	1	7	case007_entry_fast_center	case007_entry_fast_center__cf_no_collision_neg	no_collision_negative	/data/gaoya/AAA_test_video/Dataset_physV/0417data/version_1_genesis_rigid_data_all_cases/train/rigid/single_object_preview/count_01/10003__case007_entry_fast_center__cf_no_collision_neg/scene_input.json
10005	single_object_preview	count_01	1	5	case005_entry_left	case005_entry_left__cf_no_collision_neg	no_collision_negative	/data/gaoya/AAA_test_video/Dataset_physV/0417data/version_1_genesis_rigid_data_all_cases/train/rigid/single_object_preview/count_01/10005__case005_entry_left__cf_no_collision_neg/scene_input.json
10005	single_object_preview	count_01	1	6	case006_entry_right	case006_entry_right__cf_no_collision_neg	no_collision_negative	/data/gaoya/AAA_test_video/Dataset_physV/0417data/version_1_genesis_rigid_data_all_cases/train/rigid/single_object_preview/count_01/10005__case006_entry_right__cf_no_collision_neg/scene_input.json
10005	single_object_preview	count_01	1	7	case007_entry_fast_center	case007_entry_fast_center__cf_no_collision_neg	no_collision_negative	/data/gaoya/AAA_test_video/Dataset_physV/0417data/version_1_genesis_rigid_data_all_cases/train/rigid/single_object_preview/count_01/10005__case007_entry_fast_center__cf_no_collision_neg/scene_input.json
10005	single_object_preview	count_01	1	901	case901_high_drop	case901_high_drop__cf_no_collision_neg	no_collision_negative	/data/gaoya/AAA_test_video/Dataset_physV/0417data/version_1_genesis_rigid_data_all_cases/train/rigid/single_object_preview/count_01/10005__case901_high_drop__cf_no_collision_neg/scene_input.json
10007	single_object_preview	count_01	1	900	case900_random_parabola	case900_random_parabola__cf_no_collision_neg	no_collision_negative	/data/gaoya/AAA_test_video/Dataset_physV/0417data/version_1_genesis_rigid_data_all_cases/train/rigid/single_object_preview/count_01/10007__case900_random_parabola__cf_no_collision_neg/scene_input.json
10007	single_object_preview	count_01	1	901	case901_high_drop	case901_high_drop__cf_no_collision_neg	no_collision_negative	/data/gaoya/AAA_test_video/Dataset_physV/0417data/version_1_genesis_rigid_data_all_cases/train/rigid/single_object_preview/count_01/10007__case901_high_drop__cf_no_collision_neg/scene_input.json
1001	single_object_preview	count_01	1	5	case005_entry_left	case005_entry_left__cf_no_collision_neg	no_collision_negative	/data/gaoya/AAA_test_video/Dataset_physV/0417data/version_1_genesis_rigid_data_all_cases/train/rigid/single_object_preview/count_01/1001__case005_entry_left__cf_no_collision_neg/scene_input.json
1001	single_object_preview	count_01	1	6	case006_entry_right	case006_entry_right__cf_no_collision_neg	no_collision_negative	/data/gaoya/AAA_test_video/Dataset_physV/0417data/version_1_genesis_rigid_data_all_cases/train/rigid/single_object_preview/count_01/1001__case006_entry_right__cf_no_collision_neg/scene_input.json
1001	single_object_preview	count_01	1	7	case007_entry_fast_center	case007_entry_fast_center__cf_no_collision_neg	no_collision_negative	/data/gaoya/AAA_test_video/Dataset_physV/0417data/version_1_genesis_rigid_data_all_cases/train/rigid/single_object_preview/count_01/1001__case007_entry_fast_center__cf_no_collision_neg/scene_input.json
1001	single_object_preview	count_01	1	901	case901_high_drop	case901_high_drop__cf_no_collision_neg	no_collision_negative	/data/gaoya/AAA_test_video/Dataset_physV/0417data/version_1_genesis_rigid_data_all_cases/train/rigid/single_object_preview/count_01/1001__case901_high_drop__cf_no_collision_neg/scene_input.json
10010	single_object_preview	count_01	1	900	case900_random_parabola	case900_random_parabola__cf_no_collision_neg	no_collision_negative	/data/gaoya/AAA_test_video/Dataset_physV/0417data/version_1_genesis_rigid_data_all_cases/train/rigid/single_object_preview/count_01/10010__case900_random_parabola__cf_no_collision_neg/scene_input.json
10010	single_object_preview	count_01	1	901	case901_high_drop	case901_high_drop__cf_no_collision_neg	no_collision_negative	/data/gaoya/AAA_test_video/Dataset_physV/0417data/version_1_genesis_rigid_data_all_cases/train/rigid/single_object_preview/count_01/10010__case901_high_drop__cf_no_collision_neg/scene_input.json
10012	single_object_preview	count_01	1	5	case005_entry_left	case005_entry_left__cf_no_collision_neg	no_collision_negative	/data/gaoya/AAA_test_video/Dataset_physV/0417data/version_1_genesis_rigid_data_all_cases/train/rigid/single_object_preview/count_01/10012__case005_entry_left__cf_no_collision_neg/scene_input.json
