2026-03-23 06:47:19,810 INFO    MainThread:3366101 [wandb_setup.py:_flush():81] Current SDK version is 0.25.1
2026-03-23 06:47:19,811 INFO    MainThread:3366101 [wandb_setup.py:_flush():81] Configure stats pid to 3366101
2026-03-23 06:47:19,811 INFO    MainThread:3366101 [wandb_setup.py:_flush():81] Loading settings from environment variables
2026-03-23 06:47:19,811 INFO    MainThread:3366101 [wandb_init.py:setup_run_log_directory():717] Logging user logs to /home/gaoya/Code_Video/Code_data/Code_train/wandb/run-20260323_064719-20g32e7q/logs/debug.log
2026-03-23 06:47:19,811 INFO    MainThread:3366101 [wandb_init.py:setup_run_log_directory():718] Logging internal logs to /home/gaoya/Code_Video/Code_data/Code_train/wandb/run-20260323_064719-20g32e7q/logs/debug-internal.log
2026-03-23 06:47:19,811 INFO    MainThread:3366101 [wandb_init.py:monkeypatch_ipython():636] configuring jupyter hooks <wandb.sdk.wandb_init._WandbInit object at 0x7f13a4d50bb0>
2026-03-23 06:47:19,811 INFO    MainThread:3366101 [wandb_init.py:init():844] calling init triggers
2026-03-23 06:47:19,811 INFO    MainThread:3366101 [wandb_init.py:init():849] wandb.init called with sweep_config: {}
config: {'_wandb': {}}
2026-03-23 06:47:19,811 INFO    MainThread:3366101 [wandb_init.py:init():892] starting backend
2026-03-23 06:47:20,071 INFO    MainThread:3366101 [wandb_init.py:init():895] sending inform_init request
2026-03-23 06:47:20,075 INFO    MainThread:3366101 [wandb_init.py:init():903] backend started and connected
2026-03-23 06:47:20,078 INFO    MainThread:3366101 [wandb_run.py:_label_probe_notebook():1333] probe notebook
2026-03-23 06:47:20,079 INFO    MainThread:3366101 [wandb_init.py:init():973] updated telemetry
2026-03-23 06:47:20,116 INFO    MainThread:3366101 [wandb_init.py:init():997] communicating run to backend with 90.0 second timeout
2026-03-23 06:47:21,727 INFO    MainThread:3366101 [wandb_init.py:init():1042] starting run threads in backend
2026-03-23 06:47:21,941 INFO    MainThread:3366101 [wandb_run.py:_console_start():2524] atexit reg
2026-03-23 06:47:21,941 INFO    MainThread:3366101 [wandb_run.py:_redirect():2373] redirect: wrap_raw
2026-03-23 06:47:21,941 INFO    MainThread:3366101 [wandb_run.py:_redirect():2442] Wrapping output streams.
2026-03-23 06:47:21,941 INFO    MainThread:3366101 [wandb_run.py:_redirect():2465] Redirects installed.
2026-03-23 06:47:21,945 INFO    MainThread:3366101 [wandb_init.py:init():1082] run started, returning control to user process
2026-03-23 06:47:21,946 INFO    MainThread:3366101 [wandb_run.py:_config_callback():1403] config_cb None None {'learning_rate': 0.0001, 'num_epochs': 5, 'height': 480, 'width': 832, 'num_frames': 49, 'lora_rank': 32, 'lora_target_modules': 'q,k,v,o,ffn.0,ffn.2', 'dataset_repeat': 100, 'output_path': '/data/gaoya/AAA_test_video/Train_test/DiffSynth_wan22_ti2v5B/0323/models/train/Wan2.2-TI2V-5B_lora'}
2026-03-23 06:47:21,946 INFO    MainThread:3366101 [wandb_init.py:_post_run_cell_hook():606] [no run ID] resuming backend
