method,result_root,num_json,wmreward_surprise_count,wmreward_surprise_mean,physics_iq_with_context_score_count,physics_iq_with_context_score_mean,physics_iq_without_context_score_count,physics_iq_without_context_score_mean,pmf_with_context_score_count,pmf_with_context_score_mean,pmf_without_context_score_count,pmf_without_context_score_mean,videophy2_score_count,videophy2_score_mean,phyground_general_avg_count,phyground_general_avg_mean,cosmos_reason1_score_count,cosmos_reason1_score_mean,vbench_subject_consistency_score_count,vbench_subject_consistency_score_mean,vbench_background_consistency_score_count,vbench_background_consistency_score_mean,vbench_temporal_flickering_score_count,vbench_temporal_flickering_score_mean,vbench_motion_smoothness_score_count,vbench_motion_smoothness_score_mean,vbench_dynamic_degree_score_count,vbench_dynamic_degree_score_mean,vbench_aesthetic_quality_score_count,vbench_aesthetic_quality_score_mean,vbench_imaging_quality_score_count,vbench_imaging_quality_score_mean
wan2p2_ti2v5B_aligned49_steps40_512x896_49f_defaultnegprompt,/data/gaoya/AAA_test_video/0623/test/v2v/train0705_formal_compare/physicIQ/basemodel/wan2p2_ti2v5B_aligned49_steps40_512x896_49f_defaultnegprompt,67,67,0.6994,67,17.9301,67,15.5831,67,3.5506,67,3.4647,67,3.4627,0,0.0,67,3.2836,67,0.9353,67,0.9527,67,0.9908,67,0.9917,67,0.6269,67,0.4724,67,0.6659
raw_phys_state_wan_lora_continue_576x1024_f24_step-000500_steps40_512x896_ctx08_49f_defaultnegprompt,/data/gaoya/AAA_test_video/0623/test/v2v/train0705_formal_compare/physicIQ/loramodel/wan_openvid_0613pybullet_lorav2v_step000500_aligned49_steps40_512x896_ctx08_49f_defaultnegprompt,67,67,0.6877,67,25.3227,67,21.7339,67,4.1285,67,4.0521,67,3.6269,0,0.0,67,3.791,67,0.9651,67,0.9714,67,0.9969,67,0.9966,67,0.3582,67,0.479,67,0.6757
openvid_mixed_ctx24_384x672_lora_step-010000_steps40_512x896_ctx08_49f_defaultnegprompt,/data/gaoya/AAA_test_video/0623/test/v2v/train0705_formal_compare/physicIQ/loramodel/wan_openvid_lorav2v_step10000_aligned49_steps40_512x896_ctx08_49f_defaultnegprompt,67,67,0.6949,67,26.7603,67,23.8975,67,3.9236,67,3.8319,67,3.4179,0,0.0,67,3.0746,67,0.9573,67,0.9659,67,0.9957,67,0.9952,67,0.4627,67,0.4761,67,0.6664
physRVG_steps40_512x896_08_49f,/data/gaoya/AAA_test_video/0623/test/v2v/train0705_formal_compare/physicIQ/physRVG_steps40_512x896_08_49f,67,67,0.683,67,38.7525,67,35.8796,67,4.4079,67,4.3372,67,3.7463,0,0.0,67,4.4478,67,0.9842,67,0.9825,67,0.9986,67,0.9972,67,0.2388,67,0.4729,67,0.6674
run_gpu0235_20260703_step-002500_steps40_512x896_ctx08_49f_defaultnegprompt,/data/gaoya/AAA_test_video/0623/test/v2v/train0705_formal_compare/physicIQ/train_stage1b_diffsynth_native0705_0705/run_gpu0235_20260703_step-002500_steps40_512x896_ctx08_49f_defaultnegprompt,67,67,0.6851,67,32.3431,67,28.3807,67,4.294,67,4.2289,67,3.6866,0,0.0,67,3.9851,67,0.9714,67,0.9744,67,0.9973,67,0.9968,67,0.2687,67,0.4709,67,0.6825
run_gpu0235_20260703_step-007000_steps40_512x896_ctx08_49f_defaultnegprompt,/data/gaoya/AAA_test_video/0623/test/v2v/train0705_formal_compare/physicIQ/train_stage1b_diffsynth_native0705_0705/run_gpu0235_20260703_step-007000_steps40_512x896_ctx08_49f_defaultnegprompt,67,67,0.6833,67,34.5906,67,30.936,67,4.2368,67,4.1756,67,3.6269,0,0.0,67,4.0597,67,0.9721,67,0.975,67,0.9978,67,0.997,67,0.1791,67,0.4675,67,0.6803
run_gpu0235_20260703_step-002500_steps40_512x896_ctx08_49f_defaultnegprompt_noobj,/data/gaoya/AAA_test_video/0623/test/v2v/train0705_formal_compare/physicIQ/train_stage1b_diffsynth_native0705_0705/run_gpu0235_20260703_step-002500_steps40_512x896_ctx08_49f_defaultnegprompt_noobj,67,67,0.6875,67,25.2252,67,22.1927,67,4.0228,67,3.9532,67,3.6418,0,0.0,67,3.5522,67,0.9634,67,0.9695,67,0.9967,67,0.9965,67,0.3881,67,0.4756,67,0.6838
train_stage1b_kubric0708_step-002500_ctx08_49f,/data/gaoya/AAA_test_video/0623/test/v2v/train0705_formal_compare/physicIQ/train_stage1b_kubric0708/train_stage1b_kubric0708_step-002500_ctx08_49f,67,67,0.6871,67,30.6767,67,27.1025,67,4.0868,67,4.0041,67,3.597,0,0.0,67,3.7313,67,0.9633,67,0.9691,67,0.9968,67,0.9965,67,0.3284,67,0.4699,67,0.6868
train_stage1b_kubric0708_step-003500_steps40_512x896_ctx08_49f_defaultnegprompt,/data/gaoya/AAA_test_video/0623/test/v2v/train0705_formal_compare/physicIQ/train_stage1b_kubric0708/train_stage1b_kubric0708_step-003500_steps40_512x896_ctx08_49f_defaultnegprompt,67,67,0.6891,67,29.2925,67,26.5551,67,3.897,67,3.8206,67,3.5672,0,0.0,67,3.6866,67,0.9621,67,0.9693,67,0.9958,67,0.996,67,0.4328,67,0.4679,67,0.6787
train_stage1b_kubric0708_step-004000_steps40_512x896_ctx08_49f_defaultnegprompt,/data/gaoya/AAA_test_video/0623/test/v2v/train0705_formal_compare/physicIQ/train_stage1b_kubric0708/train_stage1b_kubric0708_step-004000_steps40_512x896_ctx08_49f_defaultnegprompt,67,67,0.6866,67,27.9043,67,24.6716,67,4.1304,67,4.0664,67,3.6119,0,0.0,67,3.9403,67,0.966,67,0.9715,67,0.9964,67,0.9963,67,0.3134,67,0.4699,67,0.6822
