method,result_root,num_json,wmreward_surprise_count,wmreward_surprise_mean,physics_iq_with_context_score_count,physics_iq_with_context_score_mean,physics_iq_without_context_score_count,physics_iq_without_context_score_mean,pmf_with_context_score_count,pmf_with_context_score_mean,pmf_without_context_score_count,pmf_without_context_score_mean,videophy2_score_count,videophy2_score_mean,videophy2_sa_score_count,videophy2_sa_score_mean,videophy2_pc_score_count,videophy2_pc_score_mean,videophy2_joint_rate_count,videophy2_joint_rate_mean,videophy2_pc_raw_score_count,videophy2_pc_raw_score_mean,phyground_general_avg_count,phyground_general_avg_mean,cosmos_reason1_score_count,cosmos_reason1_score_mean,vbench_subject_consistency_score_count,vbench_subject_consistency_score_mean,vbench_background_consistency_score_count,vbench_background_consistency_score_mean,vbench_temporal_flickering_score_count,vbench_temporal_flickering_score_mean,vbench_motion_smoothness_score_count,vbench_motion_smoothness_score_mean,vbench_dynamic_degree_score_count,vbench_dynamic_degree_score_mean,vbench_aesthetic_quality_score_count,vbench_aesthetic_quality_score_mean,vbench_imaging_quality_score_count,vbench_imaging_quality_score_mean
train_xssc_context_slots_step-001500_steps40_512x896_ctx08_49f_customnegprompt,/data/gaoya/AAA_test_video/0623/test/v2v_wan/xssc/baseline/results,67,67,0.687,67,29.7184,67,27.3599,67,4.1852,67,4.1106,67,0.2239,67,3.0896,67,3.6567,67,0.2239,67,3.6716,0,0.0,67,4.0299,67,0.9688,67,0.9741,67,0.9971,67,0.9962,67,0.2836,67,0.4688,67,0.6833
train_xssc_context_slots_step-001500_steps40_512x896_ctx08_49f_customnegprompt,/data/gaoya/AAA_test_video/0623/test/v2v_wan/xssc/object_cross_attn_block00/results,67,67,0.6866,67,30.4648,67,27.0042,67,4.2122,67,4.1388,67,0.209,67,3.1194,67,3.6716,67,0.209,67,3.6716,0,0.0,67,3.8507,67,0.9701,67,0.9741,67,0.9972,67,0.9965,67,0.2836,67,0.47,67,0.6857
train_xssc_context_slots_step-001500_steps40_512x896_ctx08_49f_customnegprompt,/data/gaoya/AAA_test_video/0623/test/v2v_wan/xssc/object_cross_attn_block05/results,67,67,0.6872,67,29.3224,67,27.0099,67,4.1775,67,4.1043,67,0.194,67,3.0746,67,3.7015,67,0.194,67,3.6716,0,0.0,67,3.8507,67,0.9694,67,0.9732,67,0.9971,67,0.9963,67,0.3134,67,0.4686,67,0.6829
train_xssc_context_slots_step-001500_steps40_512x896_ctx08_49f_customnegprompt,/data/gaoya/AAA_test_video/0623/test/v2v_wan/xssc/object_cross_attn_block11/results,67,67,0.6869,67,29.7001,67,27.32,67,4.1992,67,4.1229,67,0.1791,67,3.0746,67,3.6716,67,0.1791,67,3.6269,0,0.0,67,3.8507,67,0.9709,67,0.9751,67,0.9972,67,0.9965,67,0.2985,67,0.468,67,0.6847
train_xssc_context_slots_step-001500_steps40_512x896_ctx08_49f_customnegprompt,/data/gaoya/AAA_test_video/0623/test/v2v_wan/xssc/object_cross_attn_block17/results,67,67,0.6876,67,29.68,67,27.1993,67,4.1941,67,4.1202,67,0.1791,67,3.0746,67,3.6269,67,0.1791,67,3.6269,0,0.0,67,4.0299,67,0.969,67,0.9737,67,0.9971,67,0.9963,67,0.3134,67,0.4674,67,0.6843
train_xssc_context_slots_step-001500_steps40_512x896_ctx08_49f_customnegprompt,/data/gaoya/AAA_test_video/0623/test/v2v_wan/xssc/object_cross_attn_block19/results,67,67,0.6872,67,29.6828,67,27.2769,67,4.2014,67,4.1289,67,0.209,67,3.0746,67,3.7164,67,0.209,67,3.7164,0,0.0,67,3.9254,67,0.9693,67,0.9744,67,0.9971,67,0.9963,67,0.3134,67,0.4691,67,0.6834
train_xssc_context_slots_step-001500_steps40_512x896_ctx08_49f_customnegprompt,/data/gaoya/AAA_test_video/0623/test/v2v_wan/xssc/object_cross_attn_block29/results,67,67,0.6872,67,29.5966,67,27.2182,67,4.1899,67,4.1155,67,0.194,67,3.0597,67,3.6567,67,0.194,67,3.6567,0,0.0,67,3.7612,67,0.9689,67,0.9745,67,0.9971,67,0.9962,67,0.3134,67,0.4681,67,0.6842
train_xssc_context_slots_step-001500_steps40_512x896_ctx08_49f_customnegprompt,/data/gaoya/AAA_test_video/0623/test/v2v_wan/xssc/self_attn_zero_block00/results,67,67,0.6872,67,13.9273,67,11.9943,67,2.7256,67,2.6579,67,0.1493,67,2.791,67,4.0597,67,0.1493,67,3.9254,0,0.0,67,2.0746,67,0.8371,67,0.9205,67,0.9897,67,0.9929,67,0.0597,67,0.4537,67,0.7024
train_xssc_context_slots_step-001500_steps40_512x896_ctx08_49f_customnegprompt,/data/gaoya/AAA_test_video/0623/test/v2v_wan/xssc/self_attn_zero_block05/results,67,67,0.6859,67,32.5869,67,30.0861,67,4.2521,67,4.1678,67,0.1791,67,3.0746,67,3.7313,67,0.1791,67,3.7463,0,0.0,67,4.1194,67,0.972,67,0.9743,67,0.9974,67,0.9966,67,0.209,67,0.467,67,0.6882
train_xssc_context_slots_step-001500_steps40_512x896_ctx08_49f_customnegprompt,/data/gaoya/AAA_test_video/0623/test/v2v_wan/xssc/self_attn_zero_block11/results,67,67,0.6868,67,29.7348,67,26.0112,67,4.1621,67,4.0916,67,0.1791,67,3.0896,67,3.6269,67,0.1791,67,3.6418,0,0.0,67,4.0896,67,0.9677,67,0.9733,67,0.997,67,0.9963,67,0.3284,67,0.4672,67,0.685
train_xssc_context_slots_step-001500_steps40_512x896_ctx08_49f_customnegprompt,/data/gaoya/AAA_test_video/0623/test/v2v_wan/xssc/self_attn_zero_block17/results,67,67,0.6828,67,35.0193,67,31.1613,67,4.2547,67,4.1942,67,0.194,67,2.9851,67,3.7463,67,0.194,67,3.7164,0,0.0,67,4.1194,67,0.9772,67,0.98,67,0.9981,67,0.9968,67,0.1343,67,0.4666,67,0.6882
train_xssc_context_slots_step-001500_steps40_512x896_ctx08_49f_customnegprompt,/data/gaoya/AAA_test_video/0623/test/v2v_wan/xssc/self_attn_zero_block19/results,67,67,0.6866,67,31.77,67,29.4182,67,4.1418,67,4.0648,67,0.209,67,3.0597,67,3.6567,67,0.209,67,3.6716,0,0.0,67,4.0746,67,0.9699,67,0.9722,67,0.9973,67,0.9964,67,0.2239,67,0.4656,67,0.6865
train_xssc_context_slots_step-001500_steps40_512x896_ctx08_49f_customnegprompt,/data/gaoya/AAA_test_video/0623/test/v2v_wan/xssc/self_attn_zero_block29/results,67,67,0.6937,67,29.2391,67,27.2007,67,3.1706,67,3.0265,67,0.194,67,3.0597,67,3.6866,67,0.194,67,3.6567,0,0.0,67,3.5373,67,0.9555,67,0.9647,67,0.9973,67,0.9971,67,0.3134,67,0.4699,67,0.6568
train_xssc_context_slots_step-001500_steps40_512x896_ctx08_49f_customnegprompt,/data/gaoya/AAA_test_video/0623/test/v2v_wan/xssc/whole_block_block00/results,67,67,0.657,67,2.4666,67,0.8466,67,2.0937,67,2.0601,67,0.0,67,2.0,67,5.0,67,0.0,67,4.2985,0,0.0,67,1.0,67,0.5521,67,0.7921,67,0.9706,67,0.9803,67,0.4925,67,0.2848,67,0.5762
train_xssc_context_slots_step-001500_steps40_512x896_ctx08_49f_customnegprompt,/data/gaoya/AAA_test_video/0623/test/v2v_wan/xssc/whole_block_block05/results,67,67,0.6858,67,27.7584,67,24.5819,67,4.1206,67,4.0394,67,0.1791,67,3.0597,67,3.6269,67,0.1791,67,3.6269,0,0.0,67,3.8657,67,0.9691,67,0.9727,67,0.9972,67,0.9965,67,0.2388,67,0.4664,67,0.6883
