method,result_root,num_json,wmreward_surprise_count,wmreward_surprise_mean,physics_iq_with_context_score_count,physics_iq_with_context_score_mean,physics_iq_without_context_score_count,physics_iq_without_context_score_mean,pmf_with_context_score_count,pmf_with_context_score_mean,pmf_without_context_score_count,pmf_without_context_score_mean,videophy2_score_count,videophy2_score_mean,videophy2_sa_score_count,videophy2_sa_score_mean,videophy2_pc_score_count,videophy2_pc_score_mean,videophy2_joint_rate_count,videophy2_joint_rate_mean,videophy2_pc_raw_score_count,videophy2_pc_raw_score_mean,phyground_general_avg_count,phyground_general_avg_mean,cosmos_reason1_score_count,cosmos_reason1_score_mean,vbench_subject_consistency_score_count,vbench_subject_consistency_score_mean,vbench_background_consistency_score_count,vbench_background_consistency_score_mean,vbench_temporal_flickering_score_count,vbench_temporal_flickering_score_mean,vbench_motion_smoothness_score_count,vbench_motion_smoothness_score_mean,vbench_dynamic_degree_score_count,vbench_dynamic_degree_score_mean,vbench_aesthetic_quality_score_count,vbench_aesthetic_quality_score_mean,vbench_imaging_quality_score_count,vbench_imaging_quality_score_mean
physRVG_steps40_512x896_08_49f,/data/gaoya/AAA_test_video/0623/test/v2v_wan/PhyRVG/baseline/physicIQ/physRVG_steps40_512x896_08_49f,67,67,0.6823,67,39.874,67,36.7672,67,4.4279,67,4.3587,67,0.194,67,2.9104,67,3.7463,67,0.194,67,3.7612,0,0.0,67,4.403,67,0.982,67,0.9823,67,0.9986,67,0.9972,67,0.209,67,0.4745,67,0.6653
physRVG_steps40_512x896_08_49f,/data/gaoya/AAA_test_video/0623/test/v2v_wan/PhyRVG/whole_block_block00/physicIQ/physRVG_steps40_512x896_08_49f,67,67,0.6805,67,4.666,67,1.9957,67,2.4799,67,2.3909,67,0.0597,67,2.3433,67,4.5224,67,0.0597,67,4.2687,0,0.0,67,1.1791,67,0.7563,67,0.8785,67,0.9723,67,0.9776,67,0.4627,67,0.3788,67,0.595
physRVG_steps40_512x896_08_49f,/data/gaoya/AAA_test_video/0623/test/v2v_wan/PhyRVG/self_attn_zero_block00/physicIQ/physRVG_steps40_512x896_08_49f,67,67,0.6924,67,19.7412,67,30.5412,67,2.6922,67,2.579,67,0.1343,67,2.7612,67,4.1642,67,0.1343,67,4.1642,0,0.0,67,4.0299,67,0.9329,67,0.9525,67,0.9953,67,0.9956,67,0.1194,67,0.4535,67,0.6921
physRVG_steps40_512x896_08_49f,/data/gaoya/AAA_test_video/0623/test/v2v_wan/PhyRVG/text_cross_attn_zero_block00/physicIQ/physRVG_steps40_512x896_08_49f,67,67,0.6864,67,37.8684,67,33.4942,67,4.1507,67,4.0446,67,0.194,67,2.9552,67,3.791,67,0.194,67,3.806,0,0.0,67,4.2537,67,0.9785,67,0.9767,67,0.9983,67,0.9971,67,0.209,67,0.4756,67,0.6688
physRVG_steps40_512x896_08_49f,/data/gaoya/AAA_test_video/0623/test/v2v_wan/PhyRVG/ffn_zero_block00/physicIQ/physRVG_steps40_512x896_08_49f,67,67,0.6873,67,35.3469,67,31.7857,67,3.9821,67,3.8909,67,0.1791,67,2.9254,67,3.7463,67,0.1791,67,3.8358,0,0.0,67,4.2836,67,0.9622,67,0.9611,67,0.9971,67,0.9965,67,0.1493,67,0.4684,67,0.6409
physRVG_steps40_512x896_08_49f,/data/gaoya/AAA_test_video/0623/test/v2v_wan/PhyRVG/lora_off_block00/physicIQ/physRVG_steps40_512x896_08_49f,67,67,0.6829,67,40.1515,67,36.7528,67,4.4253,67,4.3561,67,0.1791,67,2.9254,67,3.7164,67,0.1791,67,3.7463,0,0.0,67,4.2687,67,0.9822,67,0.9823,67,0.9986,67,0.9973,67,0.2388,67,0.4758,67,0.6651
physRVG_steps40_512x896_08_49f,/data/gaoya/AAA_test_video/0623/test/v2v_wan/PhyRVG/whole_block_block05/physicIQ/physRVG_steps40_512x896_08_49f,67,67,0.6822,67,36.6163,67,33.1818,67,4.2863,67,4.2113,67,0.194,67,2.9104,67,3.7612,67,0.194,67,3.7313,0,0.0,67,4.1194,67,0.9816,67,0.9802,67,0.9986,67,0.9972,67,0.1642,67,0.4733,67,0.6662
physRVG_steps40_512x896_08_49f,/data/gaoya/AAA_test_video/0623/test/v2v_wan/PhyRVG/self_attn_zero_block05/physicIQ/physRVG_steps40_512x896_08_49f,67,67,0.6827,67,38.1352,67,34.8007,67,4.3684,67,4.2978,67,0.1791,67,2.9552,67,3.791,67,0.1791,67,3.7761,0,0.0,67,4.0149,67,0.9805,67,0.9815,67,0.9986,67,0.9973,67,0.194,67,0.4732,67,0.665
physRVG_steps40_512x896_08_49f,/data/gaoya/AAA_test_video/0623/test/v2v_wan/PhyRVG/text_cross_attn_zero_block05/physicIQ/physRVG_steps40_512x896_08_49f,67,67,0.6824,67,39.2973,67,36.224,67,4.4107,67,4.3408,67,0.209,67,2.9254,67,3.7164,67,0.209,67,3.7313,0,0.0,67,4.3881,67,0.9832,67,0.9825,67,0.9987,67,0.9973,67,0.194,67,0.4735,67,0.6658
physRVG_steps40_512x896_08_49f,/data/gaoya/AAA_test_video/0623/test/v2v_wan/PhyRVG/ffn_zero_block05/physicIQ/physRVG_steps40_512x896_08_49f,67,67,0.6828,67,36.8297,67,32.8567,67,4.3567,67,4.2849,67,0.1642,67,2.9104,67,3.7313,67,0.1642,67,3.7015,0,0.0,67,4.3284,67,0.9799,67,0.9802,67,0.9986,67,0.9972,67,0.194,67,0.4734,67,0.6644
